Date,nuts,realization,cooling_degree_days
01-2000,IT,0,0.0
02-2000,IT,0,0.0
03-2000,IT,0,0.0069004852243721
04-2000,IT,0,0.9619917223538568
05-2000,IT,0,7.942919363203305
06-2000,IT,0,31.22467594368402
07-2000,IT,0,54.16932357087058
08-2000,IT,0,80.10709383046715
09-2000,IT,0,20.54240205361556
10-2000,IT,0,2.248160384517739
11-2000,IT,0,0.074613312614979
12-2000,IT,0,0.0
01-2001,IT,0,0.0
02-2001,IT,0,0.0
03-2001,IT,0,0.6614242681016378
04-2001,IT,0,0.1863205948447191
05-2001,IT,0,9.274186230794816
06-2001,IT,0,25.551782924550327
07-2001,IT,0,63.93457081025847
08-2001,IT,0,82.93738099000058
09-2001,IT,0,11.882249353898578
10-2001,IT,0,8.348902008665014
11-2001,IT,0,0.0893613158823831
12-2001,IT,0,0.0
01-2002,IT,0,0.0
02-2002,IT,0,0.000650438680002
03-2002,IT,0,0.1249044379126917
04-2002,IT,0,0.1698440387756276
05-2002,IT,0,3.678341367073096
06-2002,IT,0,48.35640236297929
07-2002,IT,0,56.55195227697804
08-2002,IT,0,46.26764495520698
09-2002,IT,0,10.591915396014072
10-2002,IT,0,0.9805314125708684
11-2002,IT,0,0.1406032587003321
12-2002,IT,0,0.0
01-2003,IT,0,0.0
02-2003,IT,0,0.0
03-2003,IT,0,0.0
04-2003,IT,0,0.5454850293231285
05-2003,IT,0,11.842175119943606
06-2003,IT,0,78.1476118299227
07-2003,IT,0,101.24069063482187
08-2003,IT,0,128.67582100336824
09-2003,IT,0,16.6718060517765
10-2003,IT,0,4.354157493817739
11-2003,IT,0,0.0713515713209523
12-2003,IT,0,0.0
01-2004,IT,0,0.0
02-2004,IT,0,0.0
03-2004,IT,0,0.0001182132504617
04-2004,IT,0,0.1445554059562699
05-2004,IT,0,1.373847696170361
06-2004,IT,0,26.44952524306717
07-2004,IT,0,65.53450920197159
08-2004,IT,0,68.74825470551818
09-2004,IT,0,24.715246104641537
10-2004,IT,0,6.389601578724563
11-2004,IT,0,0.4596272695293552
12-2004,IT,0,0.0009553993213431
01-2005,IT,0,0.0
02-2005,IT,0,0.0
03-2005,IT,0,0.0829123520945088
04-2005,IT,0,0.3383809964560672
05-2005,IT,0,9.475443122362009
06-2005,IT,0,40.39727533757515
07-2005,IT,0,71.7937549054003
08-2005,IT,0,41.3033210103668
09-2005,IT,0,19.469526637645096
10-2005,IT,0,0.7158971883345239
11-2005,IT,0,0.0916749009361675
12-2005,IT,0,0.0
01-2006,IT,0,0.0
02-2006,IT,0,0.0
03-2006,IT,0,0.0121560442623056
04-2006,IT,0,0.3678112410241458
05-2006,IT,0,9.529904004928166
06-2006,IT,0,47.802529061951496
07-2006,IT,0,89.57160937808395
08-2006,IT,0,47.760596949746265
09-2006,IT,0,22.50598024809713
10-2006,IT,0,4.108231851228688
11-2006,IT,0,0.0199812793724271
12-2006,IT,0,0.0
01-2007,IT,0,8.967159073197155e-05
02-2007,IT,0,0.0
03-2007,IT,0,0.0036334192047779
04-2007,IT,0,1.8350933163243504
05-2007,IT,0,10.5014913935593
06-2007,IT,0,39.92857305603276
07-2007,IT,0,80.29636445377207
08-2007,IT,0,66.80807236609508
09-2007,IT,0,15.42287111160297
10-2007,IT,0,3.160248217157231
11-2007,IT,0,0.0004676865362929
12-2007,IT,0,0.0
01-2008,IT,0,0.0
02-2008,IT,0,0.0
03-2008,IT,0,0.033258378912345
04-2008,IT,0,0.2368678491254305
05-2008,IT,0,7.152123857054986
06-2008,IT,0,36.797379624209405
07-2008,IT,0,70.41727386048214
08-2008,IT,0,80.26105828941567
09-2008,IT,0,32.232299878008675
10-2008,IT,0,1.9473207051666648
11-2008,IT,0,0.2365718976069752
12-2008,IT,0,0.0
01-2009,IT,0,0.0
02-2009,IT,0,0.0
03-2009,IT,0,0.0027652327268506
04-2009,IT,0,0.1678440372829758
05-2009,IT,0,16.747081927793566
06-2009,IT,0,26.350721342818144
07-2009,IT,0,74.0316607973734
08-2009,IT,0,93.015538168608
09-2009,IT,0,26.725463664216907
10-2009,IT,0,2.7769299202215167
11-2009,IT,0,0.0607156361624983
12-2009,IT,0,0.005014271271594
01-2010,IT,0,0.0
02-2010,IT,0,0.0018790188881975
03-2010,IT,0,0.0033897487066444
04-2010,IT,0,0.4041784502266748
05-2010,IT,0,3.15808929327854
06-2010,IT,0,24.471495833348616
07-2010,IT,0,84.22227105738725
08-2010,IT,0,63.12798485874543
09-2010,IT,0,13.24336073763804
10-2010,IT,0,1.8119838064899016
11-2010,IT,0,0.0163324112658407
12-2010,IT,0,0.0072080286127698
01-2011,IT,0,0.0
02-2011,IT,0,0.0
03-2011,IT,0,0.0
04-2011,IT,0,1.2855193849662307
05-2011,IT,0,7.742345300188984
06-2011,IT,0,25.71487383649284
07-2011,IT,0,54.134325079827775
08-2011,IT,0,82.4169010272668
09-2011,IT,0,45.9169244643961
10-2011,IT,0,4.714117243290876
11-2011,IT,0,0.0126551592816904
12-2011,IT,0,0.0
01-2012,IT,0,0.0
02-2012,IT,0,0.0001181656673231
03-2012,IT,0,0.3600728715839215
04-2012,IT,0,0.8054950323811787
05-2012,IT,0,4.99717914925175
06-2012,IT,0,54.24030886838384
07-2012,IT,0,94.64732541514518
08-2012,IT,0,109.97955396870536
09-2012,IT,0,26.252471346348077
10-2012,IT,0,5.263068975619397
11-2012,IT,0,0.1935340451953962
12-2012,IT,0,0.0
01-2013,IT,0,0.0
02-2013,IT,0,0.0
03-2013,IT,0,0.0025515821083304
04-2013,IT,0,1.21708284647803
05-2013,IT,0,2.449315500430213
06-2013,IT,0,26.02217892658407
07-2013,IT,0,71.16100371266269
08-2013,IT,0,81.50242599909168
09-2013,IT,0,23.91076808025017
10-2013,IT,0,4.795784411532549
11-2013,IT,0,0.2780052527943231
12-2013,IT,0,0.0
01-2014,IT,0,0.0
02-2014,IT,0,0.0022176124542085
03-2014,IT,0,0.0187316474421183
04-2014,IT,0,0.3033507420947395
05-2014,IT,0,2.937366622909038
06-2014,IT,0,33.165558286548844
07-2014,IT,0,43.36823883807126
08-2014,IT,0,57.43188498032342
09-2014,IT,0,21.612128376341303
10-2014,IT,0,7.918416583217035
11-2014,IT,0,0.1563795932362542
12-2014,IT,0,0.0002729594842644
01-2015,IT,0,0.0
02-2015,IT,0,0.0
03-2015,IT,0,0.0281518150281685
04-2015,IT,0,0.4526494881999222
05-2015,IT,0,8.199841966965495
06-2015,IT,0,31.46584001005701
07-2015,IT,0,121.59107125326716
08-2015,IT,0,86.1372311081701
09-2015,IT,0,34.03063226823824
10-2015,IT,0,2.498837755113772
11-2015,IT,0,0.0601092941776034
12-2015,IT,0,0.0
01-2016,IT,0,0.0
02-2016,IT,0,7.6593965432742e-05
03-2016,IT,0,0.0682184933290787
04-2016,IT,0,1.2603834863878427
05-2016,IT,0,4.519977099075496
06-2016,IT,0,28.026841925795665
07-2016,IT,0,79.7050356810969
08-2016,IT,0,61.906965869652126
09-2016,IT,0,27.315057419779546
10-2016,IT,0,3.59379493994384
11-2016,IT,0,0.1418769233300519
12-2016,IT,0,0.0
01-2017,IT,0,0.0
02-2017,IT,0,0.0
03-2017,IT,0,0.115282907980484
04-2017,IT,0,0.5502047202334357
05-2017,IT,0,9.191691250776373
06-2017,IT,0,55.82343809961512
07-2017,IT,0,87.53851721214482
08-2017,IT,0,111.6074014180187
09-2017,IT,0,17.1216962658208
10-2017,IT,0,2.231406181487216
11-2017,IT,0,0.027452072495004
12-2017,IT,0,0.0
01-2018,IT,0,0.0
02-2018,IT,0,0.0
03-2018,IT,0,0.0118310148472865
04-2018,IT,0,2.9254310087114077
05-2018,IT,0,7.93825920159804
06-2018,IT,0,29.09950328218681
07-2018,IT,0,81.32993740307866
08-2018,IT,0,84.71331346723441
09-2018,IT,0,34.93727313757372
10-2018,IT,0,2.5099475972798424
11-2018,IT,0,0.0051749922299247
12-2018,IT,0,0.0
01-2019,IT,0,0.0
02-2019,IT,0,1.788580509809881e-05
03-2019,IT,0,0.0659740453906957
04-2019,IT,0,0.3562137556191624
05-2019,IT,0,0.5473883711037001
06-2019,IT,0,63.26181731106768
07-2019,IT,0,90.27143250908182
08-2019,IT,0,95.13510987361278
09-2019,IT,0,30.48224690822149
10-2019,IT,0,4.715875308662973
11-2019,IT,0,0.083630424761536
12-2019,IT,0,0.0
01-2020,IT,0,0.0
02-2020,IT,0,0.0001905837774835
03-2020,IT,0,0.0095125704702824
04-2020,IT,0,0.6730652198415757
05-2020,IT,0,6.953223060060152
06-2020,IT,0,23.873669820742727
07-2020,IT,0,73.85702212830951
08-2020,IT,0,94.3841525167207
09-2020,IT,0,39.16784834311277
10-2020,IT,0,2.453684152241711
11-2020,IT,0,0.0263340865770896
12-2020,IT,0,0.0
01-2021,IT,0,0.0
02-2021,IT,0,0.0033571602116849
03-2021,IT,0,0.0857462497807039
04-2021,IT,0,0.4483424124485682
05-2021,IT,0,3.505462961691084
06-2021,IT,0,54.54959396932036
07-2021,IT,0,89.33069803834185
08-2021,IT,0,96.97468169110482
09-2021,IT,0,35.22600324208311
10-2021,IT,0,2.355766344875444
11-2021,IT,0,0.0570431332107699
12-2021,IT,0,0.0
01-2022,IT,0,0.0
02-2022,IT,0,0.0014430779632878
03-2022,IT,0,0.0038073615074731
04-2022,IT,0,0.301747097479158
05-2022,IT,0,16.80471582835676
06-2022,IT,0,75.73782091782536
07-2022,IT,0,120.37957668270973
08-2022,IT,0,95.74132221075963
09-2022,IT,0,38.6246456763497
10-2022,IT,0,5.507015918624324
11-2022,IT,0,0.3546022562791291
12-2022,IT,0,0.0005321037072147
01-2023,IT,0,0.0
02-2023,IT,0,0.0
03-2023,IT,0,0.0177855911310888
04-2023,IT,0,0.2431383920857051
05-2023,IT,0,3.680567538879972
06-2023,IT,0,35.24089811467451
07-2023,IT,0,116.93733150719132
08-2023,IT,0,90.4635840390083
09-2023,IT,0,45.34374757733875
10-2023,IT,0,17.106348888881413
11-2023,IT,0,0.3943406648549115
12-2023,IT,0,0.0049176469317213
01-2024,IT,0,0.0
02-2024,IT,0,0.0001158661637982
03-2024,IT,0,0.1424323264071095
04-2024,IT,0,2.769369617984264
05-2024,IT,0,4.998347285579629
06-2024,IT,0,46.30316535190244
07-2024,IT,0,117.78290082793946
08-2024,IT,0,127.75488754353124
