Date;Volumi MWh
04-2004;23.284.305,83
05-2004;23.626.310,00
06-2004;24.131.270,00
07-2004;27.150.130,00
08-2004;22.407.100,00
09-2004;25.487.040,00
10-2004;25.568.590,00
11-2004;25.183.130,00
12-2004;25.383.690,00
01-2005;25.639.784,91
02-2005;24.893.728,80
03-2005;26.752.492,52
04-2005;24.582.095,67
05-2005;25.081.886,91
06-2005;25.633.084,12
07-2005;27.483.674,04
08-2005;23.148.630,72
09-2005;26.022.469,06
10-2005;26.263.317,94
11-2005;25.924.907,74
12-2005;26.276.746,53
01-2006;27.082.494,18
02-2006;25.564.239,29
03-2006;27.483.111,14
04-2006;24.045.538,76
05-2006;25.509.793,28
06-2006;26.325.601,90
07-2006;28.292.173,56
08-2006;23.041.780,32
09-2006;26.323.368,44
10-2006;26.761.192,53
11-2006;26.740.135,41
12-2006;26.908.050,30
01-2007;27.365.623,20
02-2007;25.126.312,21
03-2007;26.728.054,42
04-2007;24.325.920,85
05-2007;26.128.419,15
06-2007;26.698.545,39
07-2007;29.606.401,08
08-2007;23.751.508,79
09-2007;25.916.833,14
10-2007;26.912.799,01
11-2007;26.719.099,84
12-2007;26.920.914,60
01-2008;28.054.999,06
02-2008;26.814.559,44
03-2008;26.964.490,88
04-2008;25.353.645,09
05-2008;26.050.220,90
06-2008;26.825.176,14
07-2008;29.894.175,95
08-2008;24.318.885,70
09-2008;26.829.003,10
10-2008;27.023.707,18
11-2008;26.354.377,39
12-2008;26.160.167,02
01-2009;26.335.889,56
02-2009;24.519.979,38
03-2009;26.174.244,49
04-2009;23.783.285,70
05-2009;24.571.752,94
06-2009;24.769.977,48
07-2009;28.501.525,92
08-2009;23.433.351,06
09-2009;26.336.911,83
10-2009;26.792.432,91
11-2009;25.473.802,74
12-2009;25.578.603,86
01-2010;26.658.004,59
02-2010;25.384.531,19
03-2010;26.995.891,19
04-2010;24.741.922,10
05-2010;25.337.042,53
06-2010;25.335.373,75
07-2010;28.547.585,83
08-2010;24.044.799,17
09-2010;25.881.727,22
10-2010;26.224.561,65
11-2010;26.045.711,02
12-2010;26.682.626,33
01-2011;26.501.237,41
02-2011;24.969.178,38
03-2011;26.454.953,45
04-2011;23.885.000,97
05-2011;25.058.926,20
06-2011;25.348.756,93
07-2011;28.248.503,39
08-2011;23.955.597,81
09-2011;25.998.342,09
10-2011;25.807.833,46
11-2011;25.371.131,72
12-2011;25.429.571,81
01-2012;25.515.611,07
02-2012;25.377.036,13
03-2012;25.036.920,86
