"Status";"Gas Day Start (status at 6AM  CEST)";"Gas Day End";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Technical Capacity (TWh)";"Injection capacity (GWh/d)";"Withdrawal capacity (GWh/d)";"Contracted Capacity (TWh)";"Available Capacity (TWh)"
"C";"2026-07-21";"2026-07-22";"614.6255";"54.38";"0.15";"2718.56";"712.6";"1130.2074";"12251.18";"20018.28";"974.8291";"159.8872"
"C";"2026-07-20";"2026-07-21";"612.9488";"54.23";"0.21";"2745.74";"389.9";"1130.2074";"12251.08";"20018.49";"1018.3556";"116.3607"
"C";"2026-07-19";"2026-07-20";"610.5749";"54.02";"0.3";"3556.25";"234.9";"1130.2074";"12251.36";"20018.03";"1018.3556";"116.3607"
"E";"2026-07-18";"2026-07-19";"607.2307";"53.73";"0.31";"3676.54";"158.7";"1130.2074";"12251.53";"20017.76";"1018.3559";"116.3605"
"C";"2026-07-17";"2026-07-18";"603.701";"53.42";"0.22";"2857.02";"475.1";"1130.2074";"12251.15";"20018.43";"1018.3559";"116.3605"
"C";"2026-07-16";"2026-07-17";"601.1633";"53.19";"0.16";"2460.36";"706.5";"1130.2074";"12250.47";"20019.62";"1018.3842";"116.3321"
"C";"2026-07-15";"2026-07-16";"599.332";"53.03";"0.21";"2752.88";"364.7";"1130.2074";"12240.6";"19983.7";"1017.9059";"116.2341"
"E";"2026-07-14";"2026-07-15";"596.9567";"52.8";"0.24";"3165.74";"334.9";"1130.511";"12245.03";"20031.95";"1016.5264";"117.9172"
"C";"2026-07-13";"2026-07-14";"594.2017";"52.56";"0.28";"3511.59";"292.4";"1130.511";"12245.76";"20030.64";"1016.5232";"117.9204"
"C";"2026-07-12";"2026-07-13";"591.0387";"52.28";"0.35";"4328.61";"206.6";"1130.511";"12247.64";"20027.28";"1016.4997";"117.9439"
"C";"2026-07-11";"2026-07-12";"587.0552";"51.93";"0.34";"4048.72";"207.9";"1130.511";"12248.93";"20025.06";"1016.5005";"117.9432"
"C";"2026-07-10";"2026-07-11";"583.2003";"51.59";"0.23";"2880.19";"434.6";"1130.511";"12248.87";"20025.15";"1016.2856";"118.1581"
"E";"2026-07-09";"2026-07-10";"580.6054";"51.36";"0.21";"2930.97";"577.5";"1130.511";"12248.52";"20025.79";"1016.2882";"118.1554"
