Date,RES Installed Capacity (MW)
01-2005,19483.0
02-2005,19501.49
03-2005,19519.98
04-2005,19538.48
05-2005,19556.97
06-2005,19575.47
07-2005,19593.96
08-2005,19612.46
09-2005,19630.95
10-2005,19649.45
11-2005,19667.94
12-2005,19686.44
01-2006,19751.01
02-2006,19815.59
03-2006,19880.16
04-2006,19944.73
05-2006,20009.31
06-2006,20073.88
07-2006,20138.45
08-2006,20203.03
09-2006,20267.6
10-2006,20332.17
11-2006,20396.75
12-2006,20461.32
01-2007,20495.48
02-2007,20529.64
03-2007,20563.81
04-2007,20597.97
05-2007,20632.13
06-2007,20666.29
07-2007,20700.45
08-2007,20734.61
09-2007,20768.77
10-2007,20802.94
11-2007,20837.1
12-2007,20871.26
01-2008,21082.33
02-2008,21293.39
03-2008,21504.46
04-2008,21715.52
05-2008,21926.59
06-2008,22137.65
07-2008,22348.72
08-2008,22559.79
09-2008,22770.85
10-2008,22981.92
11-2008,23192.98
12-2008,23404.05
01-2009,23273.98
02-2009,23143.92
03-2009,23013.85
04-2009,22883.78
05-2009,22753.71
06-2009,22623.65
07-2009,22493.58
08-2009,22363.51
09-2009,22233.44
10-2009,22103.38
11-2009,21973.31
12-2009,21843.24
01-2010,22503.45
02-2010,23163.67
03-2010,23823.88
04-2010,24484.09
05-2010,25144.31
06-2010,25804.52
07-2010,26464.73
08-2010,27124.95
09-2010,27785.16
10-2010,28445.37
11-2010,29105.59
12-2010,29765.8
01-2011,30690.15
02-2011,31614.5
03-2011,32538.85
04-2011,33463.21
05-2011,34387.56
06-2011,35311.91
07-2011,36236.26
08-2011,37160.61
09-2011,38084.96
10-2011,39009.32
11-2011,39933.67
12-2011,40858.02
01-2012,41349.52
02-2012,41841.02
03-2012,42332.52
04-2012,42824.02
05-2012,43315.52
06-2012,43807.02
07-2012,44298.52
08-2012,44790.02
09-2012,45281.52
10-2012,45773.02
11-2012,46264.52
12-2012,46756.02
01-2013,46765.47
02-2013,46941.22
03-2013,47116.97
04-2013,47292.72
05-2013,47468.47
06-2013,47644.22
07-2013,47819.97
08-2013,47995.72
09-2013,48171.47
10-2013,48347.22
11-2013,48522.97
12-2013,48698.72
01-2014,48754.39
02-2014,48810.05
03-2014,48865.72
04-2014,48921.39
05-2014,48977.05
06-2014,49032.72
07-2014,49088.39
08-2014,49144.05
09-2014,49199.72
10-2014,49255.39
11-2014,49311.05
12-2014,49366.72
01-2015,49440.47
02-2015,49514.22
03-2015,49587.97
04-2015,49661.72
05-2015,49735.47
06-2015,49809.22
07-2015,49882.97
08-2015,49956.72
09-2015,50030.47
10-2015,50104.22
11-2015,50177.97
12-2015,50251.72
01-2016,50315.89
02-2016,50380.05
03-2016,50444.22
04-2016,50508.39
05-2016,50572.55
06-2016,50636.72
07-2016,50700.89
08-2016,50765.05
09-2016,50829.22
10-2016,50893.39
11-2016,50957.55
12-2016,51021.72
01-2017,51098.57
02-2017,51175.42
03-2017,51252.27
04-2017,51329.11
05-2017,51405.96
06-2017,51482.81
07-2017,51559.66
08-2017,51636.51
09-2017,51713.36
10-2017,51790.2
11-2017,51867.05
12-2017,51943.9
01-2018,52028.83
02-2018,52113.76
03-2018,52198.68
04-2018,52283.61
05-2018,52368.54
06-2018,52453.46
07-2018,52538.39
08-2018,52623.32
09-2018,52708.25
10-2018,52793.17
11-2018,52878.1
12-2018,52963.03
01-2019,53059.98
02-2019,53156.94
03-2019,53253.9
04-2019,53350.85
05-2019,53447.81
06-2019,53544.76
07-2019,53641.72
08-2019,53738.67
09-2019,53835.63
10-2019,53932.58
11-2019,54029.54
12-2019,54126.49
01-2020,54215.53
02-2020,54304.57
03-2020,54393.61
04-2020,54482.65
05-2020,54571.69
06-2020,54660.73
07-2020,54749.77
08-2020,54838.81
09-2020,54927.85
10-2020,55016.89
11-2020,55105.93
12-2020,55194.97
01-2021,55307.13
02-2021,55419.29
03-2021,55531.44
04-2021,55643.6
05-2021,55755.76
06-2021,55867.91
07-2021,55980.07
08-2021,56092.23
09-2021,56204.38
10-2021,56316.54
11-2021,56428.7
12-2021,56540.86
01-2022,56785.58
02-2022,57030.3
03-2022,57275.02
04-2022,57519.74
05-2022,57764.46
06-2022,58009.18
07-2022,58253.9
08-2022,58498.63
09-2022,58743.35
10-2022,58988.07
11-2022,59232.79
12-2022,59477.51
01-2023,59919.1
02-2023,60360.68
03-2023,60802.27
04-2023,61243.86
05-2023,61685.44
06-2023,62127.03
07-2023,62568.62
08-2023,63010.2
09-2023,63451.79
10-2023,63893.37
11-2023,64334.96
12-2023,64776.55
01-2024,65365.28
02-2024,65954.02
03-2024,66542.76
04-2024,67131.5
05-2024,67720.24
06-2024,68308.98
07-2024,68897.71
08-2024,69486.45
09-2024,70075.19
10-2024,70663.93
11-2024,71252.67
12-2024,71841.4
01-2025,72377.74
02-2025,72914.07
03-2025,73450.4
04-2025,73986.74
05-2025,74523.07
06-2025,75059.4
07-2025,75595.74
08-2025,76132.07
09-2025,76668.4
10-2025,77204.74
11-2025,77741.07
12-2025,78277.4
