"Date","ttf","res_capacity","consumption","pun"
2005-02-01,13.98,19501.49,24893728.8,59.773049
2005-03-01,14.67,19519.98,26752492.52,56.584909
2005-04-01,14.73,19538.48,24582095.67,48.794632
2005-05-01,15,19556.97,25081886.91,47.319721
2005-06-01,15.28,19575.47,25633084.12,54.808746
2005-07-01,16.48,19593.96,27483674.04,65.249936
2005-08-01,18.92,19612.46,23148630.72,56.22607
2005-09-01,22.36,19630.95,26022469.06,63.255978
2005-10-01,23.13,19649.45,26263317.94,61.554237
2005-11-01,29.1,19667.94,25924907.74,62.799851
2005-12-01,26.69,19686.44,26276746.53,65.59115
2006-01-01,22.82,19751.01,27082494.18,72.299557
2006-02-01,20.45,19815.59,25564239.29,81.981563
2006-03-01,21.93,19880.16,27483111.14,78.989702
2006-04-01,21.58,19944.73,24045538.76,67.408135
2006-05-01,20.45,20009.31,25509793.28,67.408441
2006-06-01,19.51,20073.88,26325601.9,72.272854
2006-07-01,19.97,20138.45,28292173.56,84.488773
2006-08-01,22,20203.03,23041780.32,74.391484
2006-09-01,33.78,20267.6,26323368.44,76.623212
2006-10-01,28.51,20332.17,26761192.53,71.308326
2006-11-01,24.13,20396.75,26740135.41,74.013131
2006-12-01,17.38,20461.32,26908050.3,76.278766
2007-01-01,11.85,20495.48,27365623.2,76.335088
2007-02-01,9.9,20529.64,25126312.21,69.769728
2007-03-01,10.96,20563.81,26728054.42,61.474653
2007-04-01,9.16,20597.97,24325920.85,55.498125
2007-05-01,11.61,20632.13,26128419.15,63.030143
2007-06-01,10.84,20666.29,26698545.39,67.155701
2007-07-01,15.5,20700.45,29606401.08,83.829492
2007-08-01,14.31,20734.61,23751508.79,63.006848
2007-09-01,20.48,20768.77,25916833.14,69.835355
2007-10-01,26.34,20802.94,26912799.01,69.85639
2007-11-01,24.45,20837.1,26719099.84,90.819447
2007-12-01,24.48,20871.26,26920914.6,81.083024
2008-01-01,22.78,21082.33,28054999.06,86.236178
2008-02-01,22.94,21293.39,26814559.44,81.491291
2008-03-01,23.8,21504.46,26964490.88,74.541456
2008-04-01,25.73,21715.52,25353645.09,80.61564
2008-05-01,28.17,21926.59,26050220.9,80.089646
2008-06-01,29.88,22137.65,26825176.14,83.493301
2008-07-01,30.19,22348.72,29894175.95,97.315897
2008-08-01,32.77,22559.79,24318885.7,90.954243
2008-09-01,36.15,22770.85,26829003.1,97.234379
2008-10-01,30.04,22981.92,27023707.18,99.072132
2008-11-01,24.08,23192.98,26354377.39,87.649836
2008-12-01,21.8,23404.05,26160167.02,84.869933
2009-01-01,24.7,23273.98,26335889.56,83.445854
2009-02-01,13.93,23143.92,24519979.38,76.94907
2009-03-01,11.5,23013.85,26174244.49,69.095251
2009-04-01,10.85,22883.78,23783285.7,58.359934
2009-05-01,10.43,22753.71,24571752.94,58.512345
2009-06-01,10.63,22623.65,24769977.48,51.81504
2009-07-01,8.85,22493.58,28501525.92,60.500856
2009-08-01,7.75,22363.51,23433351.06,71.065796
2009-09-01,8.6,22233.44,26336911.83,66.493649
2009-10-01,11.05,22103.38,26792432.91,57.627426
2009-11-01,9.45,21973.31,25473802.74,53.928213
2009-12-01,14.43,21843.24,25578603.86,57.385354
2010-01-01,16.4,22503.45,26658004.59,63.454652
2010-02-01,12.45,23163.67,25384531.19,62.553249
2010-03-01,12.45,23823.88,26995891.19,62.824604
2010-04-01,14.63,24484.09,24741922.1,61.313847
2010-05-01,16.44,25144.31,25337042.53,59.358017
2010-06-01,20.33,25804.52,25335373.75,60.198864
2010-07-01,17.7,26464.73,28547585.83,70.895924
2010-08-01,18.88,27124.95,24044799.17,69.907772
2010-09-01,18.58,27785.16,25881727.22,66.549505
2010-10-01,17.83,28445.37,26224561.65,65.783244
2010-11-01,23.38,29105.59,26045711.02,61.383534
2010-12-01,24.5,29765.8,26682626.33,64.884969
2011-01-01,21.35,30690.15,26501237.41,65.002702
2011-02-01,22.55,31614.5,24969178.38,66.285178
2011-03-01,23.7,32538.85,26454953.45,68.184991
2011-04-01,22.5,33463.21,23885000.97,65.180673
2011-05-01,23.15,34387.56,25058926.2,71.276122
2011-06-01,22.15,35311.91,25348756.93,68.411804
2011-07-01,20.6,36236.26,28248503.39,69.737099
2011-08-01,24.75,37160.61,23955597.81,74.509777
2011-09-01,15.5,38084.96,25998342.09,81.309569
2011-10-01,23.05,39009.32,25807833.46,78.612102
2011-11-01,23.1,39933.67,25371131.72,78.468488
2011-12-01,21.1,40858.02,25429571.81,79.367374
2012-01-01,24.1,41349.52,25515611.07,79.854812
2012-02-01,23.9,41841.02,25377036.13,89.040934
2012-03-01,25.4,42332.52,25036920.86,75.312343
2012-04-01,25.15,42824.02,22239673.05,72.716537
2012-05-01,22.7,43315.52,23437039.8,69.958617
2012-06-01,24.02,43807.02,24974058.33,77.877715
2012-07-01,23.7,44298.52,27864105.77,82.202953
2012-08-01,24.65,44790.02,24124984.61,85.63818
2012-09-01,25.75,45281.52,24077974.23,76.765358
2012-10-01,26.95,45773.02,24365193.19,65.855457
2012-11-01,27.6,46264.52,23355666.03,64.085601
2012-12-01,26.2,46756.02,24192113.71,66.992351
2013-01-01,25.25,46765.47,25050041.49,64.486921
2013-02-01,26.3,46941.22,23391618.47,62.970427
2013-03-01,36.55,47116.97,24559619.52,63.97506
2013-04-01,26.5,47292.72,22149661.14,61.032881
2013-05-01,27.25,47468.47,23076415.73,54.89315
2013-06-01,26.17,47644.22,23238077.14,56.235705
2013-07-01,25.6,47819.97,26564199.42,66.856649
2013-08-01,25.33,47995.72,22778569.34,65.014442
2013-09-01,26.5,48171.47,23411158.4,64.720505
2013-10-01,25.15,48347.22,23957059.78,64.366923
2013-11-01,28.2,48522.97,23230748.52,61.732865
2013-12-01,26.85,48698.72,23794738.55,69.281018
2014-01-01,25,48754.39,24439946.76,59.268742
2014-02-01,22.95,48810.05,22604921.49,51.337911
2014-03-01,21.1,48865.72,23957652.93,46.730442
2014-04-01,18.95,48921.39,22469039.99,45.76017
2014-05-01,18.75,48977.05,22731132.25,46.657296
2014-06-01,16.35,49032.72,23422337,47.022842
2014-07-01,17.1,49088.39,25512382.11,46.419221
2014-08-01,19.9,49144.05,21330774.12,47.1731
2014-09-01,20.7,49199.72,23160393.63,57.970743
