Date,covid_hospitalizations
02-2005,0
03-2005,0
04-2005,0
05-2005,0
06-2005,0
07-2005,0
08-2005,0
09-2005,0
10-2005,0
11-2005,0
12-2005,0
01-2006,0
02-2006,0
03-2006,0
04-2006,0
05-2006,0
06-2006,0
07-2006,0
08-2006,0
09-2006,0
10-2006,0
11-2006,0
12-2006,0
01-2007,0
02-2007,0
03-2007,0
04-2007,0
05-2007,0
06-2007,0
07-2007,0
08-2007,0
09-2007,0
10-2007,0
11-2007,0
12-2007,0
01-2008,0
02-2008,0
03-2008,0
04-2008,0
05-2008,0
06-2008,0
07-2008,0
08-2008,0
09-2008,0
10-2008,0
11-2008,0
12-2008,0
01-2009,0
02-2009,0
03-2009,0
04-2009,0
05-2009,0
06-2009,0
07-2009,0
08-2009,0
09-2009,0
10-2009,0
11-2009,0
12-2009,0
01-2010,0
02-2010,0
03-2010,0
04-2010,0
05-2010,0
06-2010,0
07-2010,0
08-2010,0
09-2010,0
10-2010,0
11-2010,0
12-2010,0
01-2011,0
02-2011,0
03-2011,0
04-2011,0
05-2011,0
06-2011,0
07-2011,0
08-2011,0
09-2011,0
10-2011,0
11-2011,0
12-2011,0
01-2012,0
02-2012,0
03-2012,0
04-2012,0
05-2012,0
06-2012,0
07-2012,0
08-2012,0
09-2012,0
10-2012,0
11-2012,0
12-2012,0
01-2013,0
02-2013,0
03-2013,0
04-2013,0
05-2013,0
06-2013,0
07-2013,0
08-2013,0
09-2013,0
10-2013,0
11-2013,0
12-2013,0
01-2014,0
02-2014,0
03-2014,0
04-2014,0
05-2014,0
06-2014,0
07-2014,0
08-2014,0
09-2014,0
10-2014,0
11-2014,0
12-2014,0
01-2015,0
02-2015,0
03-2015,0
04-2015,0
05-2015,0
06-2015,0
07-2015,0
08-2015,0
09-2015,0
10-2015,0
11-2015,0
12-2015,0
01-2016,0
02-2016,0
03-2016,0
04-2016,0
05-2016,0
06-2016,0
07-2016,0
08-2016,0
09-2016,0
10-2016,0
11-2016,0
12-2016,0
01-2017,0
02-2017,0
03-2017,0
04-2017,0
05-2017,0
06-2017,0
07-2017,0
08-2017,0
09-2017,0
10-2017,0
11-2017,0
12-2017,0
01-2018,0
02-2018,0
03-2018,0
04-2018,0
05-2018,0
06-2018,0
07-2018,0
08-2018,0
09-2018,0
10-2018,0
11-2018,0
12-2018,0
01-2019,0
02-2019,0
03-2019,0
04-2019,0
05-2019,0
06-2019,0
07-2019,0
08-2019,0
09-2019,0
10-2019,0
11-2019,0
12-2019,0
01-2020,0
02-2020,2459
03-2020,57333
04-2020,23854
05-2020,6355
06-2020,2661
07-2020,2399
08-2020,3344
09-2020,6777
10-2020,34737
11-2020,65817
12-2020,40952
01-2021,36294
02-2021,29077
03-2021,54298
04-2021,35632
05-2021,14566
06-2021,3551
07-2021,4224
08-2021,10333
09-2021,7834
10-2021,5824
11-2021,11172
12-2021,24052
01-2022,47552
02-2022,24917
03-2022,21151
04-2022,21315
05-2022,13966
06-2022,14394
07-2022,26609
08-2022,13603
09-2022,9619
10-2022,17364
11-2022,18138
12-2022,20268
01-2023,10835
02-2023,6424
03-2023,6127
04-2023,6915
05-2023,4265
06-2023,1877
07-2023,1232
08-2023,3130
09-2023,6798
10-2023,8873
11-2023,12593
12-2023,15578
01-2024,5486
02-2024,1310
03-2024,664
04-2024,520
05-2024,554
06-2024,1055
07-2024,3222
08-2024,4489
09-2024,3759
10-2024,4318
11-2024,1911
12-2024,1764
01-2025,1231
02-2025,537
03-2025,350
04-2025,150
05-2025,0
06-2025,0
07-2025,0
08-2025,0
09-2025,0
10-2025,0
11-2025,0
12-2025,0
