Date,energy_crisis_dummy
02-2005,0
03-2005,0
04-2005,0
05-2005,0
06-2005,0
07-2005,0
08-2005,0
09-2005,0
10-2005,0
11-2005,0
12-2005,0
01-2006,0
02-2006,0
03-2006,0
04-2006,0
05-2006,0
06-2006,0
07-2006,0
08-2006,0
09-2006,0
10-2006,0
11-2006,0
12-2006,0
01-2007,0
02-2007,0
03-2007,0
04-2007,0
05-2007,0
06-2007,0
07-2007,0
08-2007,0
09-2007,0
10-2007,0
11-2007,0
12-2007,0
01-2008,0
02-2008,0
03-2008,0
04-2008,0
05-2008,0
06-2008,0
07-2008,0
08-2008,0
09-2008,0
10-2008,0
11-2008,0
12-2008,0
01-2009,0
02-2009,0
03-2009,0
04-2009,0
05-2009,0
06-2009,0
07-2009,0
08-2009,0
09-2009,0
10-2009,0
11-2009,0
12-2009,0
01-2010,0
02-2010,0
03-2010,0
04-2010,0
05-2010,0
06-2010,0
07-2010,0
08-2010,0
09-2010,0
10-2010,0
11-2010,0
12-2010,0
01-2011,0
02-2011,0
03-2011,0
04-2011,0
05-2011,0
06-2011,0
07-2011,0
08-2011,0
09-2011,0
10-2011,0
11-2011,0
12-2011,0
01-2012,0
02-2012,0
03-2012,0
04-2012,0
05-2012,0
06-2012,0
07-2012,0
08-2012,0
09-2012,0
10-2012,0
11-2012,0
12-2012,0
01-2013,0
02-2013,0
03-2013,0
04-2013,0
05-2013,0
06-2013,0
07-2013,0
08-2013,0
09-2013,0
10-2013,0
11-2013,0
12-2013,0
01-2014,0
02-2014,0
03-2014,0
04-2014,0
05-2014,0
06-2014,0
07-2014,0
08-2014,0
09-2014,0
10-2014,0
11-2014,0
12-2014,0
01-2015,0
02-2015,0
03-2015,0
04-2015,0
05-2015,0
06-2015,0
07-2015,0
08-2015,0
09-2015,0
10-2015,0
11-2015,0
12-2015,0
01-2016,0
02-2016,0
03-2016,0
04-2016,0
05-2016,0
06-2016,0
07-2016,0
08-2016,0
09-2016,0
10-2016,0
11-2016,0
12-2016,0
01-2017,0
02-2017,0
03-2017,0
04-2017,0
05-2017,0
06-2017,0
07-2017,0
08-2017,0
09-2017,0
10-2017,0
11-2017,0
12-2017,0
01-2018,0
02-2018,0
03-2018,0
04-2018,0
05-2018,0
06-2018,0
07-2018,0
08-2018,0
09-2018,0
10-2018,0
11-2018,0
12-2018,0
01-2019,0
02-2019,0
03-2019,0
04-2019,0
05-2019,0
06-2019,0
07-2019,0
08-2019,0
09-2019,0
10-2019,0
11-2019,0
12-2019,0
01-2020,0
02-2020,0
03-2020,0
04-2020,0
05-2020,0
06-2020,0
07-2020,0
08-2020,0
09-2020,0
10-2020,0
11-2020,0
12-2020,0
01-2021,0
02-2021,0
03-2021,0
04-2021,0
05-2021,0
06-2021,0
07-2021,0
08-2021,0
09-2021,0
10-2021,1
11-2021,1
12-2021,1
01-2022,1
02-2022,1
03-2022,1
04-2022,1
05-2022,1
06-2022,1
07-2022,1
08-2022,1
09-2022,1
10-2022,1
11-2022,1
12-2022,1
01-2023,1
02-2023,1
03-2023,0
04-2023,0
05-2023,0
06-2023,0
07-2023,0
08-2023,0
09-2023,0
10-2023,0
11-2023,0
12-2023,0
01-2024,0
02-2024,0
03-2024,0
04-2024,0
05-2024,0
06-2024,0
07-2024,0
08-2024,0
09-2024,0
10-2024,0
11-2024,0
12-2024,0
01-2025,0
02-2025,0
03-2025,0
04-2025,0
05-2025,0
06-2025,0
07-2025,0
08-2025,0
09-2025,0
10-2025,0
11-2025,0
12-2025,0
