"Date";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Technical Capacity (TWh)";"Injection capacity (GWh/d)";"Withdrawal capacity (GWh/d)";"Contracted Capacity (TWh)";"Available Capacity (TWh)"
"2026-07-01";"586.9394";"51.9229";"0.249";"3245.8562";"377.7952";"1130.4098";"12247.7667";"20017.7595";"1014.8337";"119.2236"
"2026-06-01";"509.3408";"45.0393";"0.286";"3477.855";"241.65";"1130.893";"12238.563";"20068.758";"1012.0972";"120.336"
"2026-05-01";"413.8475";"36.5635";"0.2474";"3126.4403";"287.8677";"1131.8557";"12248.2423";"20022.9265";"1000.4783";"129.4085"
"2026-04-01";"339.8151";"30.0047";"0.1697";"2322.5277";"576.6667";"1132.5339";"12247.1637";"20065.758";"1026.222";"80.8172"
"2026-03-01";"329.8249";"28.8723";"-0.0816";"1082.4413";"1954.4";"1142.3671";"12208.1877";"20216.2771";"1036.7399";"108.2558"
"2026-02-01";"389.131";"34.0561";"-0.3939";"526.7425";"5021.4643";"1142.6333";"12176.9525";"20265.3675";"1035.5895";"108.0558"
"2026-01-01";"582.5244";"50.9806";"-0.6613";"231.381";"7975.9161";"1142.6318";"12141.4935";"20406.4065";"1097.8917";"45.5605"
"2025-12-01";"783.9843";"68.6174";"-0.4255";"313.569";"5166.071";"1142.5381";"12066.0642";"20444.9926";"1066.7833";"76.8619"
"2025-11-01";"920.0005";"80.5623";"-0.254";"558.1817";"3421.28";"1141.9695";"11957.4213";"20192.6033";"1068.0131";"74.6837"
"2025-10-01";"945.5078";"82.8406";"0.0168";"1094.7239";"957.4548";"1141.3639";"11867.7961";"19952.6397";"1069.2728";"72.4829"
"2025-09-01";"918.5106";"80.6893";"0.1693";"2332.4473";"390.6667";"1138.3268";"12008.2333";"20091.0207";"1063.4131";"77.4069"
"2025-08-01";"835.4022";"73.5416";"0.2974";"3618.9035";"230.8839";"1135.9407";"12010.2323";"20101.5358";"1047.6361";"91.5959"
"2025-07-01";"723.6069";"63.8106";"0.3123";"3820.7587";"225.6774";"1133.982";"11979.521";"20098.6184";"1134.5705";"3.1119"
"2025-06-01";"611.2898";"53.9037";"0.354";"4281.863";"291.2167";"1134.0428";"11970.7987";"20111.096";"1023.2624";"116.0922"
"2025-05-01";"498.8692";"44.0871";"0.2874";"3578.9858";"283.7581";"1131.5222";"11989.8758";"20043.2932";"1006.5531";"131.7151"
"2025-04-01";"411.0286";"36.3877";"0.1743";"2524.473";"523.56";"1129.6211";"11803.057";"19894.1373";"1010.5286";"126.3569"
"2025-03-01";"403.9314";"35.1694";"-0.1445";"792.3435";"2170.6323";"1148.5063";"11748.4694";"19587.5519";"1107.9755";"68.8679"
"2025-02-01";"519.2076";"45.1982";"-0.5471";"311.5875";"6126.1036";"1148.7884";"11752.5393";"19712.3829";"1096.699";"68.6851"
"2025-01-01";"717.7065";"62.5306";"-0.5874";"235.0571";"7065.0387";"1147.7741";"11740.7161";"19835.3068";"1092.6115";"55.9861"
"2024-12-01";"897.8351";"78.2213";"-0.4277";"319.6258";"5211.0935";"1147.817";"11669.791";"19771.7852";"1046.3269";"86.3969"
"2024-11-01";"1043.5453";"90.921";"-0.3257";"321.4227";"4047.1967";"1147.7466";"11697.8147";"19899.9703";"1043.3051";"73.1537"
"2024-10-01";"1089.4964";"94.9477";"0.0306";"1054.7429";"712.4355";"1147.4688";"11807.6648";"19768.6758";"1043.9159";"61.895"
"2024-09-01";"1069.7751";"93.364";"0.0743";"1466.9547";"609.61";"1145.8121";"11874.5097";"19832.6293";"1042.9041";"64.8965"
"2024-08-01";"1013.907";"89.0145";"0.2484";"3083.6261";"212.9968";"1139.011";"11805.679";"19866.679";"1035.9321";"69.838"
"2024-07-01";"925.9901";"81.511";"0.2526";"3136.56";"250.1581";"1136.0128";"11801.06";"19817.8968";"1046.6446";"68.3568"
"2024-06-01";"834.1774";"73.5257";"0.252";"3111.759";"244.5033";"1134.5289";"11804.1993";"19787.3693";"1029.5885";"90.9365"
"2024-05-01";"750.3939";"66.2365";"0.2487";"3102.91";"315.1871";"1132.8904";"11786.539";"19763.2926";"1024.5478";"96.715"
"2024-04-01";"692.3461";"61.3197";"0.1173";"2103.6393";"943.0333";"1129.0589";"11679.9023";"19860.064";"1018.5962";"101.9813"
"2024-03-01";"684.6524";"59.9781";"-0.131";"797.6684";"2034.9258";"1141.4917";"11657.5777";"19925.0845";"1120.6902";"22.447"
"2024-02-01";"751.9893";"65.8938";"-0.2628";"446.7072";"3352.6345";"1141.1969";"11659.3397";"19972.5955";"1102.2281";"34.0134"
"2024-01-01";"889.3851";"77.9287";"-0.5171";"307.1481";"6145.8613";"1141.2817";"11650.1019";"20009.3506";"1096.4493";"21.956"
"2023-12-01";"1018.8579";"89.2732";"-0.29";"589.2913";"3795.9129";"1141.2816";"11679.4739";"20109.1974";"1092.8821";"10.6955"
"2023-11-01";"1124.9566";"98.5613";"-0.131";"414.368";"1880.5267";"1141.3814";"11861.5777";"20122.6453";"1096.8227";"-4.1933"
"2023-10-01";"1113.4988";"97.6994";"0.1197";"1644.5926";"286.1742";"1139.7179";"11888.5871";"19901.7455";"1121.6632";"-29.6095"
"2023-09-01";"1072.3545";"93.9143";"0.099";"1683.36";"528.3667";"1141.8313";"12025.0677";"19881.766";"1083.9157";"13.4248"
"2023-08-01";"1020.7885";"89.7594";"0.2361";"2915.5468";"285.7613";"1137.232";"12070.7477";"19896.1229";"1088.7738";"7.2318"
"2023-07-01";"922.3912";"81.5077";"0.2887";"3350.88";"142.4";"1131.6434";"12004.6558";"19877.461";"1079.2577";"16.4833"
"2023-06-01";"827.306";"73.2563";"0.2733";"3257.0";"264.0133";"1129.3281";"11956.3743";"19879.393";"1078.7369";"22.2482"
"2023-05-01";"726.4997";"64.2994";"0.2965";"3563.9206";"278.6452";"1129.8385";"11977.1539";"19902.299";"1088.1944";"21.9663"
"2023-04-01";"641.269";"56.8807";"0.1363";"2281.646";"698.83";"1127.3618";"11906.9643";"20027.4097";"1057.328";"53.1728"
"2023-03-01";"638.5061";"56.7719";"-0.1681";"739.6161";"2720.5645";"1124.6835";"11823.2926";"20059.4452";"1089.0237";"27.5011"
"2023-02-01";"740.0055";"65.8532";"-0.3925";"336.9443";"4733.2929";"1123.7442";"11813.3914";"20099.2343";"77.7412";"1.6839"
"2023-01-01";"891.7792";"79.5971";"-0.359";"523.0829";"4547.4903";"1120.4172";"11776.5684";"20016.8535";"0.0";"0.0"
"2022-12-01";"964.8548";"86.211";"-0.3039";"856.8845";"4128.8387";"1119.1645";"11663.6165";"20079.4455";"0.0";"0.0"
"2022-11-01";"1060.8696";"94.872";"-0.0573";"902.4243";"1517.53";"1118.2145";"11794.4493";"20103.7737";"0.0";"0.0"
