Date;gas_stock_chg_pct
2009-01-01;
2009-02-01;121.3166
2009-03-01;94.9237
2009-04-01;8406.6884
2009-05-01;-269.0643
2009-06-01;134.0189
2009-07-01;84.8557
2009-08-01;97.6401
2009-09-01;168.297
2009-10-01;52.5052
2009-11-01;817.4669
2009-12-01;175.1037
2010-01-01;2493.1049
2010-02-01;129.7711
2010-03-01;142.0525
2010-04-01;-258.5134
2010-05-01;-285.825
2010-06-01;161.6282
2010-07-01;141.1495
2010-08-01;125.1047
2010-09-01;128.6998
2010-10-01;109.7136
2010-11-01;-676.2899
2010-12-01;252.2871
2011-01-01;-87.3831
2011-02-01;137.1751
2011-03-01;125.0885
2011-04-01;-505.4246
2011-05-01;-355.5229
2011-06-01;132.9966
2011-07-01;127.3669
2011-08-01;134.4521
2011-09-01;134.8074
2011-10-01;125.4208
2011-11-01;-0.9895
2011-12-01;91.6587
2012-01-01;-45.1144
2012-02-01;216.8616
2012-03-01;105.8444
2012-04-01;-376.6197
2012-05-01;-180.1622
2012-06-01;132.9419
2012-07-01;148.1344
2012-08-01;146.2809
2012-09-01;131.7402
2012-10-01;130.8799
2012-11-01;137.105
2012-12-01;111.9668
2013-01-01;-18.4389
2013-02-01;154.2358
2013-03-01;185.6986
2013-04-01;-185.3897
2013-05-01;2016.8753
2013-06-01;171.7189
2013-07-01;155.2725
2013-08-01;128.4108
2013-09-01;148.5614
2013-10-01;149.95
2013-11-01;344.019
2013-12-01;116.3824
2014-01-01;-51.771
2014-02-01;143.1297
2014-03-01;127.2615
2014-04-01;-412.2589
2014-05-01;-323.5869
2014-06-01;134.9722
2014-07-01;153.8655
2014-08-01;127.7341
2014-09-01;128.909
2014-10-01;169.0342
2014-11-01;316.1498
2014-12-01;198.9653
2015-01-01;-30.9162
2015-02-01;161.5324
2015-03-01;146.8574
2015-04-01;-189.4606
2015-05-01;986.3669
2015-06-01;146.7975
2015-07-01;168.9344
2015-08-01;132.2454
2015-09-01;150.5374
2015-10-01;122.291
2015-11-01;261.3172
2015-12-01;97.4226
2016-01-01;75.4242
2016-02-01;122.2995
2016-03-01;179.2772
2016-04-01;-233.6254
2016-05-01;-256.5794
2016-06-01;157.0403
2016-07-01;147.8242
2016-08-01;114.0844
2016-09-01;138.7327
2016-10-01;108.8191
2016-11-01;-1468.7827
2016-12-01;77.5273
2017-01-01;-20.0186
2017-02-01;106.2656
2017-03-01;131.6095
2017-04-01;-300.5819
2017-05-01;-253.1012
2017-06-01;145.8937
2017-07-01;155.9407
2017-08-01;152.8908
2017-09-01;127.7372
2017-10-01;160.0184
2017-11-01;281.2069
2017-12-01;108.9065
2018-01-01;-63.2791
2018-02-01;193.6726
2018-03-01;151.0375
2018-04-01;-249.2072
2018-05-01;-306.6397
2018-06-01;134.5096
2018-07-01;136.8857
2018-08-01;145.4783
2018-09-01;153.9347
2018-10-01;144.6573
2018-11-01;335.2586
2018-12-01;57.8101
2019-01-01;64.705
2019-02-01;117.1404
2019-03-01;105.7169
2019-04-01;-1024.5251
2019-05-01;-324.3157
2019-06-01;157.9581
2019-07-01;111.8938
2019-08-01;133.8486
2019-09-01;133.7127
2019-10-01;130.56
2019-11-01;267.7844
2019-12-01;105.4143
2020-01-01;117.4555
2020-02-01;116.5516
2020-03-01;162.114
2020-04-01;-304.8018
2020-05-01;-341.6144
2020-06-01;112.0763
2020-07-01;102.0433
2020-08-01;170.9894
2020-09-01;137.9844
2020-10-01;87.7376
2020-11-01;1970.5102
2020-12-01;120.0725
2021-01-01;9.0341
2021-02-01;122.3745
2021-03-01;142.006
2021-04-01;-185.6707
2021-05-01;3739.0251
2021-06-01;164.9801
2021-07-01;127.009
2021-08-01;157.5127
2021-09-01;142.3351
2021-10-01;140.5599
2021-11-01;116.9119
2021-12-01;63.3179
2022-01-01;-49.7085
2022-02-01;112.2233
2022-03-01;127.9094
2022-04-01;-447.5621
2022-05-01;-267.9596
2022-06-01;116.2516
2022-07-01;140.503
2022-08-01;147.5933
2022-09-01;146.5245
2022-10-01;175.1572
2022-11-01;441.0243
2022-12-01;407.1356
2023-01-01;-35.5293
2023-02-01;143.7119
2023-03-01;144.6147
2023-04-01;-268.5161
2023-05-01;-273.7331
2023-06-01;124.7439
2023-07-01;156.1072
2023-08-01;128.4352
2023-09-01;115.958
2023-10-01;225.5273
2023-11-01;377.7569
2023-12-01;165.7013
2024-01-01;13.9786
2024-02-01;103.1239
2024-03-01;151.5772
2024-04-01;-267.7807
2024-05-01;-252.4091
2024-06-01;143.3789
2024-07-01;131.9455
2024-08-01;150.2621
2024-09-01;99.7463
2024-10-01;181.7232
2024-11-01;-149.5536
2024-12-01;72.3578
2025-01-01;-42.2075
2025-02-01;149.0002
2025-03-01;123.4832
2025-04-01;-309.6262
2025-05-01;-301.1582
2025-06-01;150.2234
2025-07-01;133.934
2025-08-01;130.7025
2025-09-01;135.4476
2025-10-01;109.1108
2025-11-01;-1047.2301
2025-12-01;101.6355
2026-01-01;-5.6705
2026-02-01;109.9657
2026-03-01;113.2792
2026-04-01;-426.7727
2026-05-01;-290.2438
2026-06-01;38.2214
