date;ipi
14/01/2000;0
15/02/2000;1.243
15/03/2000;1.356
14/04/2000;2.486
15/05/2000;3.842
15/06/2000;2.486
14/07/2000;3.729
15/08/2000;3.729
15/09/2000;3.842
13/10/2000;3.955
15/11/2000;4.972
15/12/2000;5.65
15/01/2001;4.859
15/02/2001;5.085
15/03/2001;4.746
13/04/2001;3.729
15/05/2001;4.181
15/06/2001;4.068
13/07/2001;2.034
15/08/2001;4.633
14/09/2001;3.277
15/10/2001;1.695
15/11/2001;1.13
14/12/2001;1.921
15/01/2002;1.921
15/02/2002;2.034
15/03/2002;2.938
15/04/2002;2.825
15/05/2002;3.164
14/06/2002;3.729
15/07/2002;2.938
15/08/2002;3.39
13/09/2002;3.842
15/10/2002;3.277
15/11/2002;3.616
13/12/2002;2.26
15/01/2003;3.729
14/02/2003;3.955
14/03/2003;3.277
15/04/2003;3.729
15/05/2003;1.921
13/06/2003;1.921
15/07/2003;3.616
15/08/2003;2.373
15/09/2003;2.147
15/10/2003;4.972
14/11/2003;4.746
15/12/2003;4.746
15/01/2004;4.52
13/02/2004;5.424
15/03/2004;4.859
15/04/2004;5.876
14/05/2004;6.215
15/06/2004;5.989
15/07/2004;6.78
13/08/2004;4.859
15/09/2004;6.215
15/10/2004;6.667
15/11/2004;5.537
15/12/2004;5.65
14/01/2005;6.667
15/02/2005;6.215
15/03/2005;6.328
15/04/2005;7.91
13/05/2005;6.441
15/06/2005;7.345
15/07/2005;8.023
15/08/2005;6.667
15/09/2005;8.249
14/10/2005;8.475
15/11/2005;10.056
15/12/2005;9.153
13/01/2006;9.944
15/02/2006;9.831
15/03/2006;10.621
14/04/2006;10.96
15/05/2006;12.429
15/06/2006;12.542
14/07/2006;12.316
15/08/2006;12.542
15/09/2006;12.768
13/10/2006;12.429
15/11/2006;13.559
15/12/2006;15.141
15/01/2007;14.689
15/02/2007;15.367
15/03/2007;16.158
13/04/2007;14.463
15/05/2007;16.384
15/06/2007;16.723
13/07/2007;16.836
15/08/2007;17.401
14/09/2007;17.175
15/10/2007;17.966
15/11/2007;17.401
14/12/2007;17.853
15/01/2008;19.096
15/02/2008;19.096
14/03/2008;18.192
15/04/2008;19.887
15/05/2008;16.158
13/06/2008;16.384
15/07/2008;15.48
15/08/2008;14.802
15/09/2008;13.898
15/10/2008;11.412
14/11/2008;7.345
15/12/2008;3.051
15/01/2009;-1.469
13/02/2009;-3.616
13/03/2009;-4.859
15/04/2009;-6.102
15/05/2009;-3.955
15/06/2009;-3.277
15/07/2009;-2.938
14/08/2009;-2.712
15/09/2009;-0.565
15/10/2009;-0.904
13/11/2009;-0.452
15/12/2009;-0.678
15/01/2010;0.904
15/02/2010;0.339
15/03/2010;2.373
15/04/2010;2.712
14/05/2010;4.972
15/06/2010;4.859
15/07/2010;4.407
13/08/2010;5.65
15/09/2010;5.424
15/10/2010;6.441
15/11/2010;7.345
15/12/2010;8.249
14/01/2011;7.684
15/02/2011;8.701
15/03/2011;8.701
15/04/2011;8.362
13/05/2011;9.04
15/06/2011;7.345
15/07/2011;8.701
15/08/2011;8.588
15/09/2011;7.684
14/10/2011;7.345
15/11/2011;7.571
15/12/2011;6.893
13/01/2012;6.328
15/02/2012;7.006
15/03/2012;6.667
13/04/2012;5.989
15/05/2012;6.78
15/06/2012;5.989
13/07/2012;6.328
15/08/2012;7.119
14/09/2012;5.085
15/10/2012;4.181
15/11/2012;3.39
14/12/2012;4.068
15/01/2013;3.616
15/02/2013;3.842
15/03/2013;5.085
15/04/2013;5.085
15/05/2013;5.085
14/06/2013;5.424
15/07/2013;4.294
15/08/2013;4.972
13/09/2013;5.311
15/10/2013;4.746
15/11/2013;5.989
13/12/2013;5.876
15/01/2014;5.424
14/02/2014;6.102
14/03/2014;5.537
15/04/2014;7.119
15/05/2014;6.215
13/06/2014;5.763
15/07/2014;6.667
15/08/2014;4.633
15/09/2014;5.876
15/10/2014;5.763
14/11/2014;5.537
15/12/2014;6.78
15/01/2015;5.989
13/02/2015;8.475
13/03/2015;8.701
15/04/2015;8.023
15/05/2015;8.701
15/06/2015;9.04
15/07/2015;9.718
14/08/2015;8.136
15/09/2015;8.701
15/10/2015;9.04
13/11/2015;8.362
15/12/2015;8.362
15/01/2016;10.395
15/02/2016;9.04
15/03/2016;8.475
15/04/2016;10.056
13/05/2016;8.249
15/06/2016;9.266
15/07/2016;9.04
15/08/2016;9.266
15/09/2016;9.492
14/10/2016;10.169
15/11/2016;10.734
15/12/2016;10.169
13/01/2017;10.282
15/02/2017;10.96
15/03/2017;10.847
14/04/2017;11.638
15/05/2017;12.203
15/06/2017;12.203
14/07/2017;13.22
15/08/2017;14.237
15/09/2017;13.785
13/10/2017;13.785
15/11/2017;16.723
15/12/2017;16.723
15/01/2018;14.463
15/02/2018;13.446
15/03/2018;14.237
13/04/2018;13.672
15/05/2018;15.028
15/06/2018;15.028
13/07/2018;13.446
15/08/2018;14.802
14/09/2018;13.898
15/10/2018;14.237
15/11/2018;12.768
14/12/2018;12.994
15/01/2019;14.124
15/02/2019;13.446
15/03/2019;13.559
15/04/2019;13.333
15/05/2019;13.898
14/06/2019;12.655
15/07/2019;12.316
15/08/2019;12.768
13/09/2019;12.655
15/10/2019;13.22
15/11/2019;11.751
13/12/2019;9.831
15/01/2020;12.655
14/02/2020;12.09
13/03/2020;-0.904
15/04/2020;-19.322
15/05/2020;-8.023
15/06/2020;0.565
15/07/2020;5.085
14/08/2020;6.102
15/09/2020;6.667
15/10/2020;9.718
13/11/2020;12.316
15/12/2020;11.525
15/01/2021;13.22
15/02/2021;11.638
15/03/2021;12.994
15/04/2021;13.898
14/05/2021;12.429
15/06/2021;12.768
15/07/2021;14.237
13/08/2021;11.751
15/09/2021;11.864
15/10/2021;12.429
15/11/2021;13.22
15/12/2021;15.367
14/01/2022;14.463
15/02/2022;15.141
15/03/2022;12.994
15/04/2022;13.446
13/05/2022;15.593
15/06/2022;15.367
15/07/2022;13.672
15/08/2022;15.706
15/09/2022;16.949
14/10/2022;15.706
15/11/2022;16.045
15/12/2022;14.011
13/01/2023;15.367
15/02/2023;16.723
