month,gas_storage
2011-01-01,1144920.5
2011-02-01,993306.5
2011-03-01,815623.0
2011-04-01,871680.0
2011-05-01,1004459.0
2011-06-01,1170091.0
2011-07-01,1301456.0
2011-08-01,1435518.0
2011-09-01,1573588.0
2011-10-01,1652405.0
2011-11-01,1621642.0
2011-12-01,1445314.0
2012-01-01,1219419.0
2012-02-01,860945.0
2012-03-01,802251.0
2012-04-01,821384.0
2012-05-01,999552.0
2012-06-01,1162940.5
2012-07-01,1311045.0
2012-08-01,1425058.0
2012-09-01,1545729.0
2012-10-01,1630413.0
2012-11-01,1612764.5
2012-12-01,1458867.0
2013-01-01,1250882.0
2013-02-01,979472.5
2013-03-01,725215.0
2013-04-01,617373.0
2013-05-01,730155.0
2013-06-01,918072.0
2013-07-01,1066432.0
2013-08-01,1249878.0
2013-09-01,1393520.5
2013-10-01,1483549.0
2013-11-01,1509996.5
2013-12-01,1350447.0
2014-01-01,1206316.0
2014-02-01,996367.0
2014-03-01,839295.0
2014-04-01,859459.0
2014-05-01,1024214.0
2014-06-01,1199060.5
2014-07-01,1395285.0
2014-08-01,1543724.0
2014-09-01,1617157.5
2014-10-01,1671736.0
2014-11-01,1655651.5
2014-12-01,1510584.0
2015-01-01,1231682.0
2015-02-01,903539.5
2015-03-01,650356.0
2015-04-01,641866.0
2015-05-01,787255.0
2015-06-01,1015866.5
2015-07-01,1213526.0
2015-08-01,1364668.0
2015-09-01,1549997.0
2015-10-01,1656866.0
2015-11-01,1653440.5
2015-12-01,1491988.0
2016-01-01,1232057.0
2016-02-01,946309.0
2016-03-01,741655.0
2016-04-01,743119.5
2016-05-01,915823.0
2016-06-01,1130396.0
2016-07-01,1377841.0
2016-08-01,1569175.0
2016-09-01,1733993.0
2016-10-01,1837766.0
2016-11-01,1817699.5
2016-12-01,1591794.0
2017-01-01,1274467.0
2017-02-01,929345.0
2017-03-01,752533.0
2017-04-01,821714.0
2017-05-01,990162.0
2017-06-01,1224222.5
2017-07-01,1429247.0
2017-08-01,1622428.0
2017-09-01,1778459.0
2017-10-01,1852786.0
2017-11-01,1812173.5
2017-12-01,1515456.0
2018-01-01,1291839.0
2018-02-01,952418.5
2018-03-01,706871.0
2018-04-01,706515.0
2018-05-01,944495.0
2018-06-01,1209602.5
2018-07-01,1438247.0
2018-08-01,1609698.0
2018-09-01,1795728.5
2018-10-01,1888155.0
2018-11-01,1849240.5
2018-12-01,1572212.0
2019-01-01,1270558.0
2019-02-01,908692.0
2019-03-01,764275.0
2019-04-01,789207.5
2019-05-01,1015343.0
2019-06-01,1258544.0
2019-07-01,1494106.0
2019-08-01,1678615.0
2019-09-01,1825188.5
2019-10-01,1918895.0
2019-11-01,1890471.0
2019-12-01,1694685.0
2020-01-01,1389177.0
2020-02-01,1038638.0
2020-03-01,862692.0
2020-04-01,928344.0
2020-05-01,1196666.0
2020-06-01,1422203.5
2020-07-01,1624504.0
2020-08-01,1752348.0
2020-09-01,1888395.5
2020-10-01,1946058.0
2020-11-01,1869211.0
2020-12-01,1584412.0
2021-01-01,1291855.0
2021-02-01,943306.5
2021-03-01,748528.0
2021-04-01,766245.0
2021-05-01,977406.0
2021-06-01,1198338.5
2021-07-01,1364745.0
2021-08-01,1543069.0
2021-09-01,1655023.5
2021-10-01,1722434.0
2021-11-01,1657283.5
2021-12-01,1404363.0
2022-01-01,1122352.0
2022-02-01,816080.5
2022-03-01,644811.0
2022-04-01,601659.5
2022-05-01,855619.0
2022-06-01,1036133.5
2022-07-01,1291957.0
2022-08-01,1498288.0
2022-09-01,1678611.0
2022-10-01,1807363.0
2022-11-01,1834554.5
2022-12-01,1636793.0
2023-01-01,1504232.0
2023-02-01,1260236.0
2023-03-01,1103688.0
2023-04-01,1165319.5
2023-05-01,1350511.0
2023-06-01,1513123.0
2023-07-01,1645893.0
2023-08-01,1757344.0
2023-09-01,1843764.5
2023-10-01,1908142.0
2023-11-01,1928074.0
2023-12-01,1711596.0
2024-01-01,1442024.0
2024-02-01,1180083.0
2024-03-01,1121923.0
2024-04-01,1207539.0
2024-05-01,1356101.0
2024-06-01,1554019.5
2024-07-01,1699457.0
2024-08-01,1793718.0
2024-09-01,1885531.0
2024-10-01,1953345.0
2024-11-01,1904836.0
2024-12-01,1676171.0
2025-01-01,1394904.0
2025-02-01,1121674.0
2025-03-01,919898.0
2025-04-01,861704.0
2025-05-01,1061218.0
2025-06-01,1320819.5
2025-07-01,1525331.0
2025-08-01,1716435.0
2025-09-01,1830338.5
2025-10-01,1903612.0
2025-11-01,1875999.5
2025-12-01,1615131.0
2026-01-01,1311632.0
2026-02-01,1022384.5
2026-03-01,898039.0
2026-04-01,915424.5
2026-05-01,1090346.0
2026-06-01,1295287.5
2026-07-01,1427479.0
