Date,nuts,realization,heating_degree_days
01-2000,IT,0,373.3491215912028
02-2000,IT,0,271.15289524036456
03-2000,IT,0,212.30880574631811
04-2000,IT,0,116.53619171453818
05-2000,IT,0,38.34886785732522
06-2000,IT,0,16.977829254464353
07-2000,IT,0,23.57190134482466
08-2000,IT,0,14.032749118435907
09-2000,IT,0,30.642187304567265
10-2000,IT,0,72.71697915939332
11-2000,IT,0,165.62970003019913
12-2000,IT,0,245.62190376494647
01-2001,IT,0,284.7427101403168
02-2001,IT,0,257.0857019455478
03-2001,IT,0,156.4855487344501
04-2001,IT,0,159.82251558626737
05-2001,IT,0,43.96857725693474
06-2001,IT,0,28.645306455653596
07-2001,IT,0,13.790052390648553
08-2001,IT,0,11.173616535518798
09-2001,IT,0,53.79313749432631
10-2001,IT,0,49.93875891081824
11-2001,IT,0,201.93195049077227
12-2001,IT,0,369.93649691026167
01-2002,IT,0,367.50660272868566
02-2002,IT,0,226.3971227882396
03-2002,IT,0,184.1381081180696
04-2002,IT,0,136.90235086246662
05-2002,IT,0,55.73092682436721
06-2002,IT,0,17.94435456814525
07-2002,IT,0,13.447585753478286
08-2002,IT,0,16.855835884968627
09-2002,IT,0,46.16097945888219
10-2002,IT,0,79.0991053323482
11-2002,IT,0,135.45627438146948
12-2002,IT,0,258.497499342666
01-2003,IT,0,320.23199725873013
02-2003,IT,0,359.8661116929269
03-2003,IT,0,229.31886911633856
04-2003,IT,0,157.92868221062844
05-2003,IT,0,40.09830741173467
06-2003,IT,0,8.943900873115805
07-2003,IT,0,10.75157297254094
08-2003,IT,0,7.424337437060922
09-2003,IT,0,35.157978806033775
10-2003,IT,0,116.89757264677095
11-2003,IT,0,158.00317208183256
12-2003,IT,0,294.3270247473187
01-2004,IT,0,347.5856843933039
02-2004,IT,0,283.8551908615616
03-2004,IT,0,255.32918285301355
04-2004,IT,0,138.82492337325357
05-2004,IT,0,84.73830279021924
06-2004,IT,0,23.14906994206677
07-2004,IT,0,16.16535648067096
08-2004,IT,0,13.788422470317029
09-2004,IT,0,31.227169099910096
10-2004,IT,0,58.40296463665268
11-2004,IT,0,187.4211179551477
12-2004,IT,0,261.9217996021674
01-2005,IT,0,362.9411526488507
02-2005,IT,0,349.5488052492224
03-2005,IT,0,250.28539213237264
04-2005,IT,0,149.86278398965365
05-2005,IT,0,49.02036299497798
06-2005,IT,0,22.60914749707012
07-2005,IT,0,14.241789701530667
08-2005,IT,0,19.82276455042957
09-2005,IT,0,28.33516039055016
10-2005,IT,0,75.69319206748881
11-2005,IT,0,200.031096154926
12-2005,IT,0,338.8006365485563
01-2006,IT,0,373.342343505021
02-2006,IT,0,294.12809293282794
03-2006,IT,0,257.2365163816655
04-2006,IT,0,119.68353618536322
05-2006,IT,0,57.92717662518361
06-2006,IT,0,31.94448455610471
07-2006,IT,0,7.372785067612274
08-2006,IT,0,24.581994045887605
09-2006,IT,0,22.172176859070916
10-2006,IT,0,58.42842432329248
11-2006,IT,0,158.65141895826557
12-2006,IT,0,255.6081107902573
01-2007,IT,0,254.24632900435543
02-2007,IT,0,217.70164151152468
03-2007,IT,0,201.84769895393217
04-2007,IT,0,88.57978135963006
05-2007,IT,0,49.60786936429368
06-2007,IT,0,20.517125144128983
07-2007,IT,0,15.546652788924872
08-2007,IT,0,16.073880740882743
09-2007,IT,0,44.40117177663764
10-2007,IT,0,98.11173179526877
11-2007,IT,0,210.27844552105253
12-2007,IT,0,318.26870152453426
01-2008,IT,0,280.8791618580463
02-2008,IT,0,268.1312673937707
03-2008,IT,0,217.26708033894892
04-2008,IT,0,134.09656085738766
05-2008,IT,0,52.113015782318826
06-2008,IT,0,21.745777481181985
07-2008,IT,0,13.558833844209689
08-2008,IT,0,12.627631593744017
09-2008,IT,0,47.48543421287705
10-2008,IT,0,65.59120512440295
11-2008,IT,0,178.5163571072261
12-2008,IT,0,299.0553561787588
01-2009,IT,0,331.0765051393014
02-2009,IT,0,299.8771919762354
03-2009,IT,0,226.79074462907693
04-2009,IT,0,110.85974684650894
05-2009,IT,0,43.0936715283962
06-2009,IT,0,23.05843043592695
07-2009,IT,0,12.815671292063058
08-2009,IT,0,8.631195940426906
09-2009,IT,0,24.624255947576238
10-2009,IT,0,100.99149990556874
11-2009,IT,0,160.11975144149085
12-2009,IT,0,291.54821776012204
01-2010,IT,0,353.886896465441
02-2010,IT,0,278.22799620116206
03-2010,IT,0,240.3061727612053
04-2010,IT,0,127.59007922366054
05-2010,IT,0,67.42103955369754
06-2010,IT,0,22.83073046090704
07-2010,IT,0,10.000545150094345
08-2010,IT,0,16.58063327378599
09-2010,IT,0,37.21985698117628
10-2010,IT,0,105.21402286362044
11-2010,IT,0,172.7086791655486
12-2010,IT,0,328.3573379116585
01-2011,IT,0,326.68703395171883
02-2011,IT,0,267.7959385149044
03-2011,IT,0,228.3872731643393
04-2011,IT,0,97.56620207026148
05-2011,IT,0,51.4500045471321
06-2011,IT,0,21.121184458357387
07-2011,IT,0,19.488457574532337
08-2011,IT,0,11.65203605361132
09-2011,IT,0,19.55057171071765
10-2011,IT,0,94.01433573814484
11-2011,IT,0,170.3019687542969
12-2011,IT,0,262.09094225287726
01-2012,IT,0,333.0806405963297
02-2012,IT,0,371.7161893112368
03-2012,IT,0,171.42898813430577
04-2012,IT,0,133.08801062182948
05-2012,IT,0,62.07547955706232
06-2012,IT,0,17.016981893998505
07-2012,IT,0,11.833466584354165
08-2012,IT,0,10.130673835814274
09-2012,IT,0,28.9499492200938
10-2012,IT,0,75.4614699561407
11-2012,IT,0,141.66309536248625
12-2012,IT,0,313.0475429266769
01-2013,IT,0,310.29771062471843
02-2013,IT,0,316.68114130258635
03-2013,IT,0,236.4926047606848
04-2013,IT,0,113.20922812854836
05-2013,IT,0,71.56468736313346
06-2013,IT,0,29.671182835251305
07-2013,IT,0,10.531827097852242
08-2013,IT,0,12.909475154444063
09-2013,IT,0,28.03659775270949
10-2013,IT,0,59.08425566163682
11-2013,IT,0,176.9818114508781
12-2013,IT,0,273.5448128998973
01-2014,IT,0,263.6988744500837
02-2014,IT,0,209.4872422673208
03-2014,IT,0,200.16755195411056
04-2014,IT,0,110.46391889576874
05-2014,IT,0,69.273592831135
06-2014,IT,0,24.171935583220748
07-2014,IT,0,17.191224166172066
08-2014,IT,0,18.41373898860065
09-2014,IT,0,28.587861210373894
10-2014,IT,0,63.87346146832476
11-2014,IT,0,116.40395323523838
12-2014,IT,0,252.11935788602813
01-2015,IT,0,296.0778792571319
02-2015,IT,0,281.60273419070325
03-2015,IT,0,211.8502014500313
04-2015,IT,0,125.37401556285694
05-2015,IT,0,46.48840051584546
06-2015,IT,0,16.8423755703726
07-2015,IT,0,5.47724511490367
08-2015,IT,0,11.410918734908362
09-2015,IT,0,35.218764350789634
10-2015,IT,0,82.18622059162318
11-2015,IT,0,150.8895251759969
12-2015,IT,0,248.56260443983757
01-2016,IT,0,288.9900350764237
02-2016,IT,0,208.5315405841809
03-2016,IT,0,219.94419259944132
04-2016,IT,0,95.5909742459374
05-2016,IT,0,65.08826322894386
06-2016,IT,0,22.586627375526945
07-2016,IT,0,10.934430662839643
08-2016,IT,0,12.316691873663506
09-2016,IT,0,24.260885266352357
10-2016,IT,0,87.87690329981824
11-2016,IT,0,165.31202587121098
12-2016,IT,0,275.48182559712944
01-2017,IT,0,384.2735798907661
02-2017,IT,0,220.7228582270269
03-2017,IT,0,165.0232136305481
04-2017,IT,0,119.35026027137786
05-2017,IT,0,52.80721556312395
06-2017,IT,0,13.040258045985148
07-2017,IT,0,11.555582110208832
08-2017,IT,0,10.319301878805993
09-2017,IT,0,42.04807261891206
10-2017,IT,0,71.15248865202977
11-2017,IT,0,190.81946297669364
12-2017,IT,0,314.8539603193535
01-2018,IT,0,254.3402650659116
02-2018,IT,0,309.753889791071
03-2018,IT,0,237.80732776011115
04-2018,IT,0,86.39892878449002
05-2018,IT,0,43.99846048434254
06-2018,IT,0,15.399826078892774
07-2018,IT,0,9.002506005724115
08-2018,IT,0,10.535113307366505
09-2018,IT,0,23.42445746956008
10-2018,IT,0,57.12294090256027
11-2018,IT,0,147.2564278079699
12-2018,IT,0,273.7444897951828
01-2019,IT,0,359.3086113201312
02-2019,IT,0,242.67689708832708
03-2019,IT,0,185.0161548014769
04-2019,IT,0,130.71966901052048
05-2019,IT,0,95.84873521092324
06-2019,IT,0,14.307038273192992
07-2019,IT,0,9.143097385199685
08-2019,IT,0,9.569979640358426
09-2019,IT,0,25.42654723726663
10-2019,IT,0,54.43171580841873
11-2019,IT,0,149.980826774408
12-2019,IT,0,235.32915770117867
01-2020,IT,0,288.84778077174246
02-2020,IT,0,209.1231734188097
03-2020,IT,0,214.7460781348015
04-2020,IT,0,115.97444390576102
05-2020,IT,0,43.99220445938968
06-2020,IT,0,25.09721888964929
07-2020,IT,0,10.663553299362093
08-2020,IT,0,10.57302438733534
09-2020,IT,0,28.90660083058309
10-2020,IT,0,94.81084315500426
11-2020,IT,0,147.2058387126525
12-2020,IT,0,262.8367420420993
01-2021,IT,0,324.2662647349105
02-2021,IT,0,217.2879756903435
03-2021,IT,0,231.85043127505807
04-2021,IT,0,163.54165943054096
05-2021,IT,0,66.97984146309831
06-2021,IT,0,15.610268421074634
07-2021,IT,0,11.476756231601591
08-2021,IT,0,14.93505369683661
09-2021,IT,0,22.158487430268558
10-2021,IT,0,88.64505353130642
11-2021,IT,0,157.74041275055058
12-2021,IT,0,280.336491728705
01-2022,IT,0,310.6228193490129
02-2022,IT,0,232.19297785677372
03-2022,IT,0,249.6772870094191
04-2022,IT,0,140.07679466528984
05-2022,IT,0,40.93734025750159
06-2022,IT,0,11.13273487054438
07-2022,IT,0,6.802991548684821
08-2022,IT,0,9.066446494212752
09-2022,IT,0,33.81548736481045
10-2022,IT,0,40.508522651897
11-2022,IT,0,145.97153845571563
12-2022,IT,0,220.68125827663195
01-2023,IT,0,280.4270364459963
02-2023,IT,0,252.1054766277668
03-2023,IT,0,177.86815738265605
04-2023,IT,0,143.49850757864368
05-2023,IT,0,53.73299823000187
06-2023,IT,0,15.964181471368867
07-2023,IT,0,8.906958674319133
08-2023,IT,0,11.895680678440796
09-2023,IT,0,15.90408652436532
10-2023,IT,0,40.44461333143796
11-2023,IT,0,155.5484138736833
12-2023,IT,0,231.6111821623782
01-2024,IT,0,268.5155025710381
02-2024,IT,0,186.3765841360875
03-2024,IT,0,165.7571337960129
04-2024,IT,0,113.67036695576115
05-2024,IT,0,55.06808315382882
06-2024,IT,0,21.08266743426204
07-2024,IT,0,7.621580838509496
08-2024,IT,0,4.8398658254707385
09-2024,IT,0,35.448587673129865
10-2024,IT,0,50.562798613496106
11-2024,IT,0,163.08633580831187
12-2024,IT,0,273.3330799539318
01-2025,IT,0,261.8392409264125
02-2025,IT,0,231.6123438395336
03-2025,IT,0,180.8400785998243
04-2025,IT,0,103.9815777092987
05-2025,IT,0,55.246215194796825
06-2025,IT,0,8.383661007614883
07-2025,IT,0,13.679064234053612
08-2025,IT,0,11.271705610251294
09-2025,IT,0,27.434911234202165
10-2025,IT,0,80.9839818626438
11-2025,IT,0,176.71529734166606
12-2025,IT,0,235.6653640861815
