time,value
1990-01,102.5
1990-02,108.1
1990-03,117.6
1990-04,107.4
1990-05,114.3
1990-06,110.5
1990-07,115.4
1990-08,51.8
1990-09,113.9
1990-10,117.2
1990-11,109.3
1990-12,96.3
1991-01,104.2
1991-02,105.9
1991-03,115.6
1991-04,101.8
1991-05,112.5
1991-06,111.0
1991-07,114.0
1991-08,50.2
1991-09,114.1
1991-10,116.1
1991-11,113.3
1991-12,93.9
1992-01,102.4
1992-02,107.9
1992-03,116.4
1992-04,105.3
1992-05,113.4
1992-06,111.4
1992-07,114.2
1992-08,47.1
1992-09,107.8
1992-10,113.4
1992-11,110.1
1992-12,89.2
1993-01,99.8
1993-02,104.9
1993-03,112.9
1993-04,101.2
1993-05,109.3
1993-06,107.2
1993-07,110.0
1993-08,45.6
1993-09,108.3
1993-10,111.2
1993-11,108.7
1993-12,91.3
1994-01,97.4
1994-02,105.6
1994-03,116.2
1994-04,106.0
1994-05,114.8
1994-06,114.2
1994-07,118.4
1994-08,53.5
1994-09,117.2
1994-10,118.9
1994-11,116.8
1994-12,104.6
1995-01,108.6
1995-02,113.7
1995-03,124.3
1995-04,111.3
1995-05,121.9
1995-06,119.1
1995-07,122.8
1995-08,61.3
1995-09,121.5
1995-10,125.9
1995-11,121.4
1995-12,108.1
1996-01,110.3
1996-02,115.8
1996-03,124.6
1996-04,110.0
1996-05,119.7
1996-06,117.8
1996-07,122.3
1996-08,58.2
1996-09,117.1
1996-10,122.8
1996-11,118.1
1996-12,99.8
1997-01,106.2
1997-02,115.5
1997-03,124.4
1997-04,114.9
1997-05,123.1
1997-06,122.1
1997-07,128.5
1997-08,63.3
1997-09,124.6
1997-10,131.4
1997-11,125.0
1997-12,109.4
1998-01,113.3
1998-02,120.2
1998-03,128.9
1998-04,117.8
1998-05,126.2
1998-06,124.6
1998-07,130.1
1998-08,60.6
1998-09,126.1
1998-10,129.5
1998-11,124.7
1998-12,102.7
1999-01,112.3
1999-02,117.5
1999-03,128.3
1999-04,114.1
1999-05,121.6
1999-06,122.9
1999-07,129.2
1999-08,63.3
1999-09,125.8
1999-10,131.4
1999-11,128.4
1999-12,108.6
2000-01,113.4
2000-02,122.3
2000-03,132.7
2000-04,119.8
2000-05,131.3
2000-06,128.7
2000-07,132.5
2000-08,68.5
2000-09,130.5
2000-10,133.6
2000-11,131.5
2000-12,117.7
2001-01,117.3
2001-02,125.9
2001-03,136.6
2001-04,119.0
2001-05,130.8
2001-06,128.4
2001-07,132.7
2001-08,65.9
2001-09,128.4
2001-10,130.3
2001-11,123.9
2001-12,109.5
2002-01,111.9
2002-02,122.2
2002-03,133.2
2002-04,114.3
2002-05,129.7
2002-06,125.8
2002-07,132.3
2002-08,63.5
2002-09,128.4
2002-10,129.8
2002-11,127.7
2002-12,109.9
2003-01,114.2
2003-02,120.7
2003-03,130.6
2003-04,118.1
2003-05,124.2
2003-06,123.2
2003-07,132.8
2003-08,62.9
2003-09,124.9
2003-10,130.0
2003-11,127.0
2003-12,110.1
2004-01,113.2
2004-02,121.7
2004-03,128.9
2004-04,118.0
2004-05,127.7
2004-06,124.1
2004-07,132.6
2004-08,63.2
2004-09,126.1
2004-10,131.1
2004-11,123.9
2004-12,106.3
2005-01,109.1
2005-02,118.8
2005-03,127.9
2005-04,118.0
2005-05,124.8
2005-06,121.8
2005-07,131.8
2005-08,64.6
2005-09,126.3
2005-10,130.1
2005-11,125.9
2005-12,107.4
2006-01,110.2
2006-02,122.1
2006-03,132.4
2006-04,117.8
2006-05,131.4
2006-06,128.3
2006-07,134.9
2006-08,68.3
2006-09,131.7
2006-10,135.5
2006-11,129.4
2006-12,114.4
2007-01,115.5
2007-02,126.1
2007-03,137.2
2007-04,120.7
2007-05,134.1
2007-06,130.0
2007-07,138.1
2007-08,72.3
2007-09,134.9
2007-10,137.3
2007-11,129.1
2007-12,107.2
2008-01,118.4
2008-02,127.0
2008-03,137.9
2008-04,125.4
2008-05,131.4
2008-06,129.4
2008-07,134.6
2008-08,66.5
2008-09,125.9
2008-10,126.8
2008-11,116.6
2008-12,91.7
2009-01,95.0
2009-02,98.7
2009-03,102.4
2009-04,92.8
2009-05,102.8
2009-06,99.4
2009-07,109.8
2009-08,54.2
2009-09,105.8
2009-10,110.6
2009-11,105.8
2009-12,86.0
2010-01,95.1
2010-02,102.0
2010-03,110.5
2010-04,100.7
2010-05,110.4
2010-06,110.2
2010-07,118.9
2010-08,62.3
2010-09,112.1
2010-10,115.1
2010-11,110.9
2010-12,93.0
2011-01,96.8
2011-02,107.6
2011-03,116.6
2011-04,106.3
2011-05,114.3
2011-06,110.3
2011-07,119.0
2011-08,66.7
2011-09,110.1
2011-10,110.8
2011-11,107.1
2011-12,90.6
2012-01,92.1
2012-02,99.8
2012-03,108.6
2012-04,96.5
2012-05,107.9
2012-06,102.6
2012-07,112.5
2012-08,63.6
2012-09,105.0
2012-10,104.9
2012-11,99.1
2012-12,84.1
2013-01,89.2
2013-02,95.5
2013-03,102.5
2013-04,91.8
2013-05,103.0
2013-06,100.3
2013-07,108.3
2013-08,60.6
2013-09,101.8
2013-10,104.3
2013-11,99.8
2013-12,83.1
2014-01,90.1
2014-02,95.9
2014-03,102.4
2014-04,93.3
2014-05,101.1
2014-06,100.5
2014-07,107.0
2014-08,60.3
2014-09,99.5
2014-10,101.5
2014-11,97.8
2014-12,83.3
2015-01,88.5
2015-02,95.5
2015-03,103.7
2015-04,93.6
2015-05,103.6
2015-06,100.3
2015-07,109.6
2015-08,61.6
2015-09,101.2
2015-10,103.8
2015-11,100.9
2015-12,83.6
2016-01,91.8
2016-02,96.6
2016-03,104.8
2016-04,95.8
2016-05,103.2
2016-06,99.3
2016-07,109.4
2016-08,64.3
2016-09,103.1
2016-10,106.3
2016-11,103.7
2016-12,89.4
2017-01,92.2
2017-02,99.2
2017-03,108.6
2017-04,96.8
2017-05,107.0
2017-06,105.5
2017-07,114.2
2017-08,68.7
2017-09,106.2
2017-10,109.6
2017-11,107.6
2017-12,94.2
2018-01,96.4
2018-02,102.2
