Date;PUN (€/MWh)
04-2004;48,192390
05-2004;43,979797
06-2004;61,806960
07-2004;61,384309
08-2004;49,288509
09-2004;53,868176
10-2004;50,005579
11-2004;46,835924
12-2004;49,222974
01-2005;61,027328
02-2005;59,773049
03-2005;56,584909
04-2005;48,794632
05-2005;47,319721
06-2005;54,808746
07-2005;65,249936
08-2005;56,226070
09-2005;63,255978
10-2005;61,554237
11-2005;62,799851
12-2005;65,591150
01-2006;72,299557
02-2006;81,981563
03-2006;78,989702
04-2006;67,408135
05-2006;67,408441
06-2006;72,272854
07-2006;84,488773
08-2006;74,391484
09-2006;76,623212
10-2006;71,308326
11-2006;74,013131
12-2006;76,278766
01-2007;76,335088
02-2007;69,769728
03-2007;61,474653
04-2007;55,498125
05-2007;63,030143
06-2007;67,155701
07-2007;83,829492
08-2007;63,006848
09-2007;69,835355
10-2007;69,856390
11-2007;90,819447
12-2007;81,083024
01-2008;86,236178
02-2008;81,491291
03-2008;74,541456
04-2008;80,615640
05-2008;80,089646
06-2008;83,493301
07-2008;97,315897
08-2008;90,954243
09-2008;97,234379
10-2008;99,072132
11-2008;87,649836
12-2008;84,869933
01-2009;83,445854
02-2009;76,949070
03-2009;69,095251
04-2009;58,359934
05-2009;58,512345
06-2009;51,815040
07-2009;60,500856
08-2009;71,065796
09-2009;66,493649
10-2009;57,627426
11-2009;53,928213
12-2009;57,385354
01-2010;63,454652
02-2010;62,553249
03-2010;62,824604
04-2010;61,313847
05-2010;59,358017
06-2010;60,198864
07-2010;70,895924
08-2010;69,907772
09-2010;66,549505
10-2010;65,783244
11-2010;61,383534
12-2010;64,884969
01-2011;65,002702
02-2011;66,285178
03-2011;68,184991
04-2011;65,180673
05-2011;71,276122
06-2011;68,411804
07-2011;69,737099
08-2011;74,509777
09-2011;81,309569
10-2011;78,612102
11-2011;78,468488
12-2011;79,367374
01-2012;79,854812
02-2012;89,040934
03-2012;75,312343
04-2012;72,716537
05-2012;69,958617
06-2012;77,877715
07-2012;82,202953
08-2012;85,638180
09-2012;76,765358
10-2012;65,855457
11-2012;64,085601
12-2012;66,992351
01-2013;64,486921
02-2013;62,970427
03-2013;63,975060
04-2013;61,032881
05-2013;54,893150
06-2013;56,235705
07-2013;66,856649
08-2013;65,014442
09-2013;64,720505
10-2013;64,366923
11-2013;61,732865
12-2013;69,281018
01-2014;59,268742
02-2014;51,337911
03-2014;46,730442
04-2014;45,760170
05-2014;46,657296
06-2014;47,022842
07-2014;46,419221
08-2014;47,173100
09-2014;57,970743
10-2014;62,233171
11-2014;54,586559
12-2014;59,579377
01-2015;51,103069
02-2015;54,503912
03-2015;49,986007
04-2015;47,843605
05-2015;47,269112
06-2015;48,640722
07-2015;67,766542
08-2015;52,720490
09-2015;49,388997
10-2015;47,659724
11-2015;55,077464
12-2015;55,661802
01-2016;46,473631
02-2016;36,970667
03-2016;35,220531
04-2016;31,989842
05-2016;34,781435
06-2016;36,792402
07-2016;42,850374
08-2016;37,079464
09-2016;42,893627
10-2016;53,080240
11-2016;58,327262
12-2016;56,436099
01-2017;72,237354
02-2017;55,537097
03-2017;44,463566
04-2017;42,861866
05-2017;43,062217
06-2017;48,863361
07-2017;50,312368
08-2017;55,769355
09-2017;48,594956
10-2017;54,657008
11-2017;65,770461
12-2017;65,102725
01-2018;48,998256
02-2018;57,001673
03-2018;56,913519
04-2018;49,392726
05-2018;53,475678
06-2018;57,252264
07-2018;62,689859
08-2018;67,712532
09-2018;76,317847
10-2018;73,934994
11-2018;66,581000
12-2018;65,153980
01-2019;67,651070
02-2019;57,665415
03-2019;52,876729
04-2019;53,354545
05-2019;50,674200
06-2019;48,582580
07-2019;52,313240
08-2019;49,544049
09-2019;51,179041
10-2019;52,821668
11-2019;48,158593
12-2019;43,336153
01-2020;47,467703
02-2020;39,302060
03-2020;31,989926
04-2020;24,805385
05-2020;21,787886
06-2020;28,008138
07-2020;38,005826
08-2020;40,318562
09-2020;48,800708
10-2020;43,568821
11-2020;48,747650
12-2020;54,036270
01-2021;60,712357
02-2021;56,572734
03-2021;60,391245
04-2021;69,018509
05-2021;69,908007
06-2021;84,797028
07-2021;102,655825
08-2021;112,395107
09-2021;158,585336
10-2021;217,625827
11-2021;225,952805
12-2021;281,241549
01-2022;224,500693
02-2022;211,690384
03-2022;308,068768
04-2022;245,974760
05-2022;230,056245
06-2022;271,311344
07-2022;441,645199
08-2022;543,154071
09-2022;429,920278
10-2022;211,497382
11-2022;224,511586
12-2022;294,907461
01-2023;174,490146
02-2023;161,071269
03-2023;136,383786
04-2023;134,971556
05-2023;105,727997
06-2023;105,341167
07-2023;112,090048
08-2023;111,889380
09-2023;115,696810
10-2023;134,255287
11-2023;121,735991
12-2023;115,460737
01-2024;99,157124
02-2024;87,625944
03-2024;88,862130
04-2024;86,803041
05-2024;94,883317
06-2024;103,169737
07-2024;112,319978
08-2024;128,435012
09-2024;117,125843
10-2024;116,688239
11-2024;130,889101
12-2024;135,064812
01-2025;143,028279
02-2025;150,361043
03-2025;120,548435
04-2025;99,853644
05-2025;93,575669
06-2025;111,782968
07-2025;113,130195
08-2025;108,788999
09-2025;109,075913
10-2025;111,042475
11-2025;117,085047
12-2025;115,489526
01-2026;132,664908
02-2026;114,405118
03-2026;143,399703
04-2026;119,465654
05-2026;119,351258
06-2026;132,504586
07-2026;157,038393
08-2026;179,998943
