Date,month_start,Price,n_obs
01-2005,2005-01-01,14.1305,20
02-2005,2005-02-01,16.8315,20
03-2005,2005-03-01,17.203,20
04-2005,2005-04-01,14.8086,21
05-2005,2005-05-01,14.3255,20
06-2005,2005-06-01,14.3564,22
07-2005,2005-07-01,15.541,21
08-2005,2005-08-01,15.0832,22
09-2005,2005-09-01,14.7464,22
10-2005,2005-10-01,15.5348,21
11-2005,2005-11-01,19.1591,22
12-2005,2005-12-01,22.869,20
01-2006,2006-01-01,25.6814,21
02-2006,2006-02-01,22.324,20
03-2006,2006-03-01,26.1659,22
04-2006,2006-04-01,21.3589,18
05-2006,2006-05-01,19.7452,21
06-2006,2006-06-01,19.5841,22
07-2006,2006-07-01,19.8476,21
08-2006,2006-08-01,17.9955,22
09-2006,2006-09-01,15.9514,21
10-2006,2006-10-01,14.2005,22
11-2006,2006-11-01,19.8727,22
12-2006,2006-12-01,16.5589,19
01-2007,2007-01-01,13.5855,22
02-2007,2007-02-01,9.3105,20
03-2007,2007-03-01,10.3386,22
04-2007,2007-04-01,8.8789,19
05-2007,2007-05-01,11.7081,21
06-2007,2007-06-01,10.5862,21
07-2007,2007-07-01,14.9464,22
08-2007,2007-08-01,14.2895,22
09-2007,2007-09-01,17.057,20
10-2007,2007-10-01,20.1348,23
11-2007,2007-11-01,22.2236,22
12-2007,2007-12-01,23.0547,19
01-2008,2008-01-01,24.1391,22
02-2008,2008-02-01,22.761,21
03-2008,2008-03-01,23.6663,19
04-2008,2008-04-01,25.7532,22
05-2008,2008-05-01,25.0355,20
06-2008,2008-06-01,26.5524,21
07-2008,2008-07-01,25.0883,23
08-2008,2008-08-01,23.862,20
09-2008,2008-09-01,30.2841,22
10-2008,2008-10-01,25.7407,29
11-2008,2008-11-01,23.8703,30
12-2008,2008-12-01,21.8189,27
01-2009,2009-01-01,23.6017,30
02-2009,2009-02-01,18.3214,28
03-2009,2009-03-01,12.5371,31
04-2009,2009-04-01,11.4423,26
05-2009,2009-05-01,10.975,30
06-2009,2009-06-01,10.7777,30
07-2009,2009-07-01,9.4113,31
08-2009,2009-08-01,8.8183,30
09-2009,2009-09-01,9.4667,30
10-2009,2009-10-01,10.1887,31
11-2009,2009-11-01,9.7917,30
12-2009,2009-12-01,11.237,27
01-2010,2010-01-01,14.3911,28
02-2010,2010-02-01,13.7393,28
03-2010,2010-03-01,11.9535,31
04-2010,2010-04-01,13.4712,26
05-2010,2010-05-01,16.7317,29
06-2010,2010-06-01,19.1833,30
07-2010,2010-07-01,19.5719,31
08-2010,2010-08-01,18.116,30
09-2010,2010-09-01,19.085,30
10-2010,2010-10-01,18.5435,31
11-2010,2010-11-01,19.4167,30
12-2010,2010-12-01,24.2338,29
01-2011,2011-01-01,22.3057,30
02-2011,2011-02-01,21.74,28
03-2011,2011-03-01,23.7232,31
04-2011,2011-04-01,23.034,25
05-2011,2011-05-01,22.979,30
06-2011,2011-06-01,22.5567,30
07-2011,2011-07-01,21.5113,30
08-2011,2011-08-01,21.9361,31
09-2011,2011-09-01,23.393,27
10-2011,2011-10-01,22.3048,31
11-2011,2011-11-01,23.6933,30
12-2011,2011-12-01,22.4493,30
01-2012,2012-01-01,21.8774,31
02-2012,2012-02-01,26.191,29
03-2012,2012-03-01,23.7987,31
04-2012,2012-04-01,24.8493,27
05-2012,2012-05-01,24.1781,31
06-2012,2012-06-01,23.6787,30
07-2012,2012-07-01,24.3226,31
08-2012,2012-08-01,24.0129,31
09-2012,2012-09-01,25.8124,21
10-2012,2012-10-01,26.7022,23
11-2012,2012-11-01,27.2491,22
12-2012,2012-12-01,27.3363,19
01-2013,2013-01-01,26.5323,22
02-2013,2013-02-01,26.3165,20
03-2013,2013-03-01,32.105,20
04-2013,2013-04-01,28.2237,19
05-2013,2013-05-01,26.7124,21
06-2013,2013-06-01,26.2526,19
07-2013,2013-07-01,26.0659,22
08-2013,2013-08-01,25.5518,22
09-2013,2013-09-01,26.4786,21
10-2013,2013-10-01,25.8687,23
11-2013,2013-11-01,27.1805,21
12-2013,2013-12-01,27.7505,20
01-2014,2014-01-01,26.2539,23
02-2014,2014-02-01,23.849,20
03-2014,2014-03-01,22.7671,21
04-2014,2014-04-01,20.4232,22
05-2014,2014-05-01,19.0882,22
06-2014,2014-06-01,17.3919,21
07-2014,2014-07-01,16.5057,23
08-2014,2014-08-01,17.4971,21
09-2014,2014-09-01,20.7486,22
10-2014,2014-10-01,21.2683,23
11-2014,2014-11-01,22.978,20
12-2014,2014-12-01,22.5355,22
01-2015,2015-01-01,19.755,22
02-2015,2015-02-01,22.566,20
03-2015,2015-03-01,21.8568,22
04-2015,2015-04-01,22.0782,22
05-2015,2015-05-01,20.5486,21
06-2015,2015-06-01,20.5205,22
07-2015,2015-07-01,20.8583,23
08-2015,2015-08-01,19.5714,21
09-2015,2015-09-01,19.16,22
10-2015,2015-10-01,18.2436,22
11-2015,2015-11-01,17.2071,21
12-2015,2015-12-01,15.7064,22
01-2016,2016-01-01,13.9043,21
02-2016,2016-02-01,12.4767,21
03-2016,2016-03-01,12.2678,23
04-2016,2016-04-01,12.1119,21
05-2016,2016-05-01,13.0409,22
06-2016,2016-06-01,14.4168,22
07-2016,2016-07-01,14.2419,21
08-2016,2016-08-01,11.9809,23
09-2016,2016-09-01,12.2868,22
10-2016,2016-10-01,16.0938,21
11-2016,2016-11-01,18.0159,22
12-2016,2016-12-01,17.6895,22
01-2017,2017-01-01,20.1227,22
02-2017,2017-02-01,19.553,20
03-2017,2017-03-01,15.7991,23
04-2017,2017-04-01,16.058,20
05-2017,2017-05-01,15.6691,23
06-2017,2017-06-01,15.1345,22
07-2017,2017-07-01,15.0957,21
08-2017,2017-08-01,15.993,23
09-2017,2017-09-01,17.3029,21
10-2017,2017-10-01,17.1036,22
11-2017,2017-11-01,19.5709,22
12-2017,2017-12-01,20.7952,21
01-2018,2018-01-01,18.6,23
02-2018,2018-02-01,21.679,20
03-2018,2018-03-01,23.6227,22
04-2018,2018-04-01,19.6452,21
05-2018,2018-05-01,21.5976,21
06-2018,2018-06-01,21.9276,21
07-2018,2018-07-01,22.2536,22
08-2018,2018-08-01,23.8886,22
09-2018,2018-09-01,27.837,20
10-2018,2018-10-01,25.5396,23
11-2018,2018-11-01,24.6336,22
12-2018,2018-12-01,23.6445,20
01-2019,2019-01-01,21.3978,23
02-2019,2019-02-01,18.0035,20
03-2019,2019-03-01,15.6976,21
04-2019,2019-04-01,15.0471,21
05-2019,2019-05-01,13.3441,22
06-2019,2019-06-01,10.5225,20
07-2019,2019-07-01,10.9413,23
08-2019,2019-08-01,10.0295,22
09-2019,2019-09-01,9.5681,21
10-2019,2019-10-01,10.3091,23
11-2019,2019-11-01,14.7638,21
12-2019,2019-12-01,13.1281,21
01-2020,2020-01-01,11.1448,23
02-2020,2020-02-01,9.3725,20
03-2020,2020-03-01,8.6236,22
04-2020,2020-04-01,6.5219,21
05-2020,2020-05-01,4.591,20
06-2020,2020-06-01,4.9968,22
07-2020,2020-07-01,4.8774,23
08-2020,2020-08-01,7.5424,21
09-2020,2020-09-01,11.1868,22
10-2020,2020-10-01,13.9532,22
11-2020,2020-11-01,13.8157,21
12-2020,2020-12-01,16.2882,22
01-2021,2021-01-01,20.4486,21
02-2021,2021-02-01,17.4135,20
03-2021,2021-03-01,17.7965,23
04-2021,2021-04-01,20.8457,21
05-2021,2021-05-01,25.2671,21
06-2021,2021-06-01,29.2391,22
07-2021,2021-07-01,36.2127,22
08-2021,2021-08-01,44.3067,21
09-2021,2021-09-01,64.8264,22
10-2021,2021-10-01,87.6981,21
11-2021,2021-11-01,81.9491,22
12-2021,2021-12-01,113.0343,21
01-2022,2022-01-01,85.078,20
02-2022,2022-02-01,80.031,20
03-2022,2022-03-01,129.2809,23
04-2022,2022-04-01,101.243,20
05-2022,2022-05-01,88.3595,21
06-2022,2022-06-01,107.9681,21
07-2022,2022-07-01,171.8238,21
08-2022,2022-08-01,235.5535,23
09-2022,2022-09-01,191.2555,22
10-2022,2022-10-01,72.6576,21
11-2022,2022-11-01,96.775,22
12-2022,2022-12-01,117.0585,20
01-2023,2023-01-01,62.5371,21
02-2023,2023-02-01,53.2845,20
03-2023,2023-03-01,44.1822,23
04-2023,2023-04-01,42.4356,18
05-2023,2023-05-01,31.2735,20
06-2023,2023-06-01,32.4741,22
07-2023,2023-07-01,29.5419,21
08-2023,2023-08-01,33.4768,22
09-2023,2023-09-01,36.5267,21
10-2023,2023-10-01,43.2645,22
11-2023,2023-11-01,43.2691,22
12-2023,2023-12-01,35.4784,19
01-2024,2024-01-01,29.7536,22
02-2024,2024-02-01,25.6305,21
03-2024,2024-03-01,26.675,20
04-2024,2024-04-01,29.1314,21
05-2024,2024-05-01,31.9035,23
06-2024,2024-06-01,34.2635,20
07-2024,2024-07-01,32.2161,23
08-2024,2024-08-01,37.83,21
09-2024,2024-09-01,36.1071,21
10-2024,2024-10-01,40.0326,23
11-2024,2024-11-01,44.4548,21
12-2024,2024-12-01,44.9485,20
01-2025,2025-01-01,48.6241,22
02-2025,2025-02-01,50.356,20
03-2025,2025-03-01,41.4819,21
04-2025,2025-04-01,35.152,20
05-2025,2025-05-01,35.215,20
06-2025,2025-06-01,36.4043,21
07-2025,2025-07-01,33.5278,23
08-2025,2025-08-01,32.1543,21
09-2025,2025-09-01,32.0505,22
10-2025,2025-10-01,31.9183,23
11-2025,2025-11-01,30.5825,20
12-2025,2025-12-01,27.5765,20
01-2026,2026-01-01,34.8419,21
02-2026,2026-02-01,32.6185,20
03-2026,2026-03-01,52.6495,22
04-2026,2026-04-01,45.1732,19
05-2026,2026-05-01,47.4457,21
06-2026,2026-06-01,44.81,22
07-2026,2026-07-01,53.8917,23
08-2026,2026-08-01,61.6525,20
09-2026,2026-09-01,73.7086,7
