Date;Open;High;Low;Settle;Source
feb-05;13.24;15.37;13.24;13.98;TRNLTTFMc1
mar-05;14.19;16.14;14.19;14.67;TRNLTTFMc1
apr-05;14.72;15.24;14.26;14.73;TRNLTTFMc1
May 2005;14.77;15.05;14.72;15.00;TRNLTTFMc1
Jun 2005;14.82;15.29;14.65;15.28;TRNLTTFMc1
Jul 2005;15.44;16.68;15.40;16.48;TRNLTTFMc1
Aug 2005;16.53;18.92;15.19;18.92;TRNLTTFMc1
Sep 2005;19.09;22.53;16.94;22.36;TRNLTTFMc1
Oct 2005;22.28;23.35;19.35;23.13;TRNLTTFMc1
nov-05;22.65;29.10;21.22;29.10;TRNLTTFMc1
Dec 2005;28.75;28.75;25.89;26.69;TRNLTTFMc1
Jan 2006;26.68;27.79;22.82;22.82;TRNLTTFMc1
feb-06;22.71;22.71;20.45;20.45;TRNLTTFMc1
mar-06;20.46;25.10;20.46;21.93;TRNLTTFMc1
apr-06;22.04;22.04;20.75;21.58;TRNLTTFMc1
May 2006;21.58;21.58;20.43;20.45;TRNLTTFMc1
Jun 2006;20.25;20.39;19.21;19.51;TRNLTTFMc1
Jul 2006;19.26;20.72;18.88;19.97;TRNLTTFMc1
Aug 2006;19.84;22.00;18.43;22.00;TRNLTTFMc1
Sep 2006;31.03;33.78;26.37;33.78;TRNLTTFMc1
Oct 2006;25.09;28.51;21.33;28.51;TRNLTTFMc1
nov-06;28.01;28.01;19.98;24.13;TRNLTTFMc1
Dec 2006;23.08;23.08;17.38;17.38;TRNLTTFMc1
Jan 2007;16.45;17.01;11.85;11.85;TRNLTTFMc1
feb-07;11.56;11.56;8.35;9.90;TRNLTTFMc1
mar-07;11.40;11.40;9.63;10.96;TRNLTTFMc1
apr-07;10.35;10.35;8.33;9.16;TRNLTTFMc1
May 2007;10.37;13.30;10.37;11.61;TRNLTTFMc1
Jun 2007;11.02;11.27;9.82;10.84;TRNLTTFMc1
Jul 2007;12.34;16.55;11.86;15.50;TRNLTTFMc1
Aug 2007;14.88;15.06;13.28;14.31;TRNLTTFMc1
Sep 2007;14.41;20.48;14.41;20.48;TRNLTTFMc1
Oct 2007;21.18;26.34;20.60;26.34;TRNLTTFMc1
nov-07;25.46;26.90;21.33;24.45;TRNLTTFMc1
Dec 2007;23.32;25.68;23.32;24.48;TRNLTTFMc1
Jan 2008;23.93;26.23;22.78;22.78;TRNLTTFMc1
feb-08;21.71;22.94;21.30;22.94;TRNLTTFMc1
mar-08;22.57;23.80;22.44;23.80;TRNLTTFMc1
apr-08;24.59;27.28;24.59;25.73;TRNLTTFMc1
May 2008;26.07;28.17;25.30;28.17;TRNLTTFMc1
Jun 2008;27.82;29.88;27.82;29.88;TRNLTTFMc1
Jul 2008;29.81;30.19;23.11;30.19;TRNLTTFMc1
Aug 2008;30.12;33.22;28.88;32.77;TRNLTTFMc1
Sep 2008;32.59;36.15;30.89;36.15;TRNLTTFMc1
Oct 2008;26.85;30.75;26.85;30.04;TRNLTTFDA
nov-08;30.09;30.09;19.03;24.08;TRNLTTFDA
Dec 2008;24.13;24.13;19.13;21.80;TRNLTTFDA
Jan 2009;21.00;31.75;19.34;24.70;TRNLTTFDA
feb-09;25.10;25.10;13.33;13.93;TRNLTTFDA
mar-09;12.60;13.60;10.98;11.50;TRNLTTFDA
apr-09;12.33;12.33;10.45;10.85;TRNLTTFDA
May 2009;10.70;11.53;10.34;10.43;TRNLTTFDA
Jun 2009;10.20;11.55;10.20;10.63;TRNLTTFDA
Jul 2009;10.03;10.80;8.28;8.85;TRNLTTFDA
Aug 2009;8.85;9.75;7.25;7.75;TRNLTTFDA
Sep 2009;9.00;10.35;8.55;8.60;TRNLTTFDA
Oct 2009;8.75;12.40;7.00;11.05;TRNLTTFDA
nov-09;9.53;11.15;9.15;9.45;TRNLTTFDA
Dec 2009;9.65;14.43;8.80;14.43;TRNLTTFDA
Jan 2010;15.00;16.40;12.83;16.40;TRNLTTFDA
feb-10;14.33;16.00;12.38;12.45;TRNLTTFDA
mar-10;12.13;12.93;10.78;12.45;TRNLTTFDA
apr-10;13.08;14.63;12.10;14.63;TRNLTTFDA
May 2010;14.78;17.75;14.78;16.44;TRNLTTFDA
Jun 2010;16.50;20.60;16.50;20.33;TRNLTTFDA
Jul 2010;20.55;21.73;17.18;17.70;TRNLTTFDA
Aug 2010;17.78;18.88;17.55;18.88;TRNLTTFDA
Sep 2010;18.70;19.40;18.38;18.58;TRNLTTFDA
Oct 2010;18.40;19.38;16.58;17.83;TRNLTTFDA
nov-10;17.88;23.38;17.80;23.38;TRNLTTFDA
Dec 2010;24.03;25.05;23.40;24.50;TRNLTTFDA
Jan 2011;24.00;24.00;21.20;21.35;TRNLTTFDA
feb-11;21.35;22.55;21.20;22.55;TRNLTTFDA
mar-11;22.45;25.70;22.35;23.70;TRNLTTFDA
apr-11;24.35;24.35;21.45;22.50;TRNLTTFDA
May 2011;22.50;23.55;22.00;23.15;TRNLTTFDA
Jun 2011;23.00;23.60;21.75;22.15;TRNLTTFDA
Jul 2011;21.75;22.10;20.50;20.60;TRNLTTFDA
Aug 2011;21.00;25.50;19.75;24.75;TRNLTTFDA
Sep 2011;24.00;27.35;15.50;15.50;TRNLTTFDA
Oct 2011;18.60;24.90;16.75;23.05;TRNLTTFDA
nov-11;23.65;24.80;21.65;23.10;TRNLTTFDA
Dec 2011;22.70;24.25;19.90;21.10;TRNLTTFDA
Jan 2012;21.70;24.90;20.00;24.10;TRNLTTFDA
feb-12;24.30;41.60;22.75;23.90;TRNLTTFDA
mar-12;23.70;25.50;21.40;25.40;TRNLTTFDA
apr-12;25.25;26.30;23.90;25.15;TRNLTTFDA
May 2012;25.50;25.80;22.60;22.70;TRNLTTFDA
Jun 2012;23.20;29.95;22.00;24.02;TRNLTTFDA
Jul 2012;24.40;26.15;23.30;23.70;TRNLTTFDA
Aug 2012;23.60;25.15;22.75;24.65;TRNLTTFDA
Sep 2012;25.50;26.90;24.55;25.75;TRNLTTFDA
Oct 2012;25.45;28.15;25.30;26.95;TRNLTTFDA
nov-12;27.00;27.95;26.40;27.60;TRNLTTFDA
Dec 2012;27.65;28.70;25.50;26.20;TRNLTTFDA
Jan 2013;26.00;27.95;25.20;25.25;TRNLTTFDA
feb-13;25.53;27.90;25.40;26.30;TRNLTTFDA
mar-13;26.60;41.60;24.02;36.55;TRNLTTFDA
apr-13;30.75;33.55;26.10;26.50;TRNLTTFDA
May 2013;26.45;27.70;26.00;27.25;TRNLTTFDA
Jun 2013;26.90;29.98;25.70;26.17;TRNLTTFDA
Jul 2013;26.08;26.98;25.50;25.60;TRNLTTFDA
Aug 2013;25.80;27.65;24.80;25.33;TRNLTTFDA
Sep 2013;25.65;27.20;25.65;26.50;TRNLTTFDA
Oct 2013;26.15;120.00;25.00;25.15;TRNLTTFDA
nov-13;26.18;28.63;25.60;28.20;TRNLTTFDA
Dec 2013;28.50;29.35;25.52;26.85;TRNLTTFDA
Jan 2014;26.60;28.30;24.88;25.00;TRNLTTFDA
feb-14;24.60;27.08;22.28;22.95;TRNLTTFDA
